scale,quad_id,selection_note,raster_file,summary_csv,source_n_pixels,source_method,source_entropy,sample_rule,rule_type,rule_value,rule_label,rule_axis_label,applicable_scales,sample_size,sample_fraction,sample_label,plot_sample_label
10m,1305_c,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1305_c,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,8027,bootstrap_mean,2.94484543401492,pct_1,percent,0.01,1% of pixels,1%,all,80,0.0099663635231095,1% of pixels = 80 pixels (1.0%),"1%
80 px"
10m,1305_c,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1305_c,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,8027,bootstrap_mean,2.94484543401492,pct_2,percent,0.02,2% of pixels,2%,all,161,0.02005730659025788,2% of pixels = 161 pixels (2.0%),"2%
161 px"
10m,1305_c,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1305_c,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,8027,bootstrap_mean,2.94484543401492,pct_3,percent,0.03,3% of pixels,3%,all,241,0.03002367011336738,3% of pixels = 241 pixels (3.0%),"3%
241 px"
10m,1305_c,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1305_c,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,8027,bootstrap_mean,2.94484543401492,fixed_1250,fixed,1250,"Fixed 1,250","1,250",all,1250,0.15572443004858602,"Fixed 1,250 (15.6%)","1,250
15.6%"
10m,1305_c,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1305_c,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,8027,bootstrap_mean,2.94484543401492,fixed_2000,fixed,2000,"Fixed 2,000","2,000","10m,20m",2000,0.2491590880777376,"Fixed 2,000 (24.9%)","2,000
24.9%"
10m,1305_c,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1305_c,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,8027,bootstrap_mean,2.94484543401492,fixed_3000,fixed,3000,"Fixed 3,000","3,000","10m,20m",3000,0.37373863211660646,"Fixed 3,000 (37.4%)","3,000
37.4%"
10m,1305_c,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1305_c,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,8027,bootstrap_mean,2.94484543401492,fixed_4000,fixed,4000,"Fixed 4,000","4,000",all,4000,0.4983181761554753,"Fixed 4,000 (49.8%)","4,000
49.8%"
10m,1315_b,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1315_b,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,9077,bootstrap_mean,2.82887997957035,pct_1,percent,0.01,1% of pixels,1%,all,91,0.01002533876831552,1% of pixels = 91 pixels (1.0%),"1%
91 px"
10m,1315_b,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1315_b,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,9077,bootstrap_mean,2.82887997957035,pct_2,percent,0.02,2% of pixels,2%,all,182,0.02005067753663104,2% of pixels = 182 pixels (2.0%),"2%
182 px"
10m,1315_b,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1315_b,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,9077,bootstrap_mean,2.82887997957035,pct_3,percent,0.03,3% of pixels,3%,all,272,0.02996584774705299,3% of pixels = 272 pixels (3.0%),"3%
272 px"
10m,1315_b,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1315_b,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,9077,bootstrap_mean,2.82887997957035,fixed_1250,fixed,1250,"Fixed 1,250","1,250",all,1250,0.13771069736697147,"Fixed 1,250 (13.8%)","1,250
13.8%"
10m,1315_b,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1315_b,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,9077,bootstrap_mean,2.82887997957035,fixed_2000,fixed,2000,"Fixed 2,000","2,000","10m,20m",2000,0.22033711578715431,"Fixed 2,000 (22.0%)","2,000
22.0%"
