quad_id,scale,manual_excluded_50m,n_available_pixels,sample_index,mean_reflectance,pc1
sub50_1,50m,FALSE,175140,166646,0.13443777855670402,-16.645858050237052
sub50_1,50m,FALSE,175140,28157,0.205491081919244,-2.9596457354938637
sub50_1,50m,FALSE,175140,102582,0.2628112462433902,2.545684258531947
sub50_1,50m,FALSE,175140,51417,0.20709098407552262,-1.6437112701267678
sub50_1,50m,FALSE,175140,149232,0.27867681336058076,6.881727345818526
sub50_1,50m,FALSE,175140,86575,0.2890333294067994,12.194465187613298
sub50_1,50m,FALSE,175140,96461,0.29642096686769615,11.818807668112672
sub50_1,50m,FALSE,175140,84116,0.2955517263944484,10.784838761769457
sub50_1,50m,FALSE,175140,98115,0.30624560825526714,12.12504192624516
sub50_1,50m,FALSE,175140,12109,0.23031928025047518,-2.5929543624550546
sub50_1,50m,FALSE,175140,30895,0.18500529395123896,-11.896541597157652
sub50_1,50m,FALSE,175140,38126,0.24863213565477654,-0.07855916364281773
sub50_1,50m,FALSE,175140,91595,0.2661872266460795,7.337219114548954
sub50_1,50m,FALSE,175140,165265,0.19951643242908657,-6.244029593025165
sub50_1,50m,FALSE,175140,6645,0.17178558749877962,-13.2493612526967
sub50_1,50m,FALSE,175140,110161,0.33039287850260735,17.636806919936728
sub50_1,50m,FALSE,175140,106357,0.29279817382166207,10.812582973738532
sub50_1,50m,FALSE,175140,110219,0.25867833561949,8.818412252763194
sub50_1,50m,FALSE,175140,106670,0.1909803401963585,-8.720735577974454
sub50_1,50m,FALSE,175140,96214,0.21997953114900276,-5.58227533809121
sub50_1,50m,FALSE,175140,160584,0.2591810345434207,10.959702040417822
sub50_1,50m,FALSE,175140,100182,0.3067921800769804,16.256403848059673
sub50_1,50m,FALSE,175140,17053,0.17771977297807776,-8.251265381296646
sub50_1,50m,FALSE,175140,108966,0.22782934666418833,-0.10407028096857632
sub50_1,50m,FALSE,175140,77810,0.22022431125972142,-2.050365381491049
sub50_1,50m,FALSE,175140,49353,0.15683691517626944,-13.439432375867902
sub50_1,50m,FALSE,175140,22008,0.259184094469163,10.664610710727537
sub50_1,50m,FALSE,175140,24573,0.21599188735631625,-2.0417745304724413
sub50_1,50m,FALSE,175140,49056,0.2573759955592638,5.850208636209827
sub50_1,50m,FALSE,175140,49409,0.25448669757201403,5.779435879383257
sub50_1,50m,FALSE,175140,39282,0.2732863355012349,9.556617197618944
sub50_1,50m,FALSE,175140,47844,0.24240541188739056,4.071515574104385
sub50_1,50m,FALSE,175140,75291,0.27790384679601704,11.077093229147932
sub50_1,50m,FALSE,175140,95132,0.2142256160366757,-8.243064214123185
sub50_1,50m,FALSE,175140,122815,0.2980194683225194,11.63421957519159
sub50_1,50m,FALSE,175140,49944,0.17551666946912353,-13.428538574378294
sub50_1,50m,FALSE,175140,694,0.25124340984693244,4.902959862082013
sub50_1,50m,FALSE,175140,171845,0.25839817025968115,3.7537609152883236
sub50_1,50m,FALSE,175140,165699,0.1392231967284783,-12.969867780261518
sub50_1,50m,FALSE,175140,23397,0.2837342141303888,12.992486007596753
sub50_1,50m,FALSE,175140,36591,0.24977136365607505,8.281485113556837
sub50_1,50m,FALSE,175140,47808,0.15075671249492603,-18.131025477063833
sub50_1,50m,FALSE,175140,155519,0.2013099992971036,-6.743019751984146
sub50_1,50m,FALSE,175140,51764,0.23951227488842877,-1.7316346769779076
sub50_1,50m,FALSE,175140,21569,0.17546706803697198,-12.843880171833645
