"scale","x_metric","x_label","y_metric","y_label","n","pearson_r","r_squared","f_statistic","f_p_value","slope","intercept","spearman_r","spearman_p_value"
"50m","spec_alpha","Raw PCA alpha hull","spec_pca_mean","Raw PCA mean distance",74,0.87598963741158,0.767357844852472,237.488192087723,1.69156160339854e-24,0.0062014423124823,3.9343582787084,0.873765272121436,3.0814572509504e-24
"50m","spec_alpha","Raw PCA alpha hull","spec_spca_alpha","Std PCA alpha hull",74,0.856853924695623,0.734198648266292,198.878983610787,2.09323356444015e-22,0.857413265804356,68.2061470387883,0.787574972232506,8.56778665148399e-17
"50m","spec_alpha","Raw PCA alpha hull","spec_spca_rao","Std PCA Rao's Q",74,0.592703276259767,0.351297173689062,38.9907296218388,2.64440975040921e-08,0.34821335327095,-89.4553343745994,0.770721954831544,9.7141629302874e-16
"50m","spec_alpha","Raw PCA alpha hull","spec_spca_mean","Std PCA mean distance",74,0.792793039481925,0.628520803450989,121.819736525947,3.86228197194927e-17,0.00678612967012733,2.38066675356813,0.772943354313217,7.13829123502664e-16
"50m","spec_rao_q","Raw PCA Rao's Q","spec_pca_mean","Raw PCA mean distance",74,0.939634849950236,0.882913651241003,542.930781966737,2.91244217103248e-35,0.017395829680325,5.10877704835055,0.976897445390596,5.35581711331829e-50
"50m","spec_rao_q","Raw PCA Rao's Q","spec_spca_alpha","Std PCA alpha hull",74,0.703820246650451,0.495362939595102,70.6767981373196,2.66539798483597e-12,1.84177874123284,339.077018086625,0.67197334320622,5.57872234582555e-11
"50m","spec_rao_q","Raw PCA Rao's Q","spec_spca_rao","Std PCA Rao's Q",74,0.835172333608993,0.697512826825892,166.026621904254,2.25387861293045e-20,1.28314721100953,-82.5114506316072,0.773565346168086,6.54419743032365e-16
"50m","spec_rao_q","Raw PCA Rao's Q","spec_spca_mean","Std PCA mean distance",74,0.808729573211476,0.654043522586816,136.118664342881,2.92201908782539e-18,0.0181033080478268,3.84542253351283,0.723983709737134,3.13113936790686e-13
"50m","spec_pca_mean","Raw PCA mean distance","spec_spca_alpha","Std PCA alpha hull",74,0.716382864757418,0.513204408918044,75.9060232241879,7.17292029329437e-13,101.259285402873,-162.771831071533,0.655446131062569,2.34395142769946e-10
"50m","spec_pca_mean","Raw PCA mean distance","spec_spca_rao","Std PCA Rao's Q",74,0.650338870398685,0.422940646351437,52.7705275805113,3.58827907859582e-10,53.9702048407952,-291.929172759539,0.711455016660496,1.21034638178743e-12
"50m","spec_pca_mean","Raw PCA mean distance","spec_spca_mean","Std PCA mean distance",74,0.739159636384448,0.546356968059989,86.7151018105381,5.49532581537954e-14,0.893731014359508,-0.22818940663616,0.693358015549796,7.55742868472694e-12
"50m","spec_spca_alpha","Std PCA alpha hull","spec_spca_rao","Std PCA Rao's Q",74,0.721614711031491,0.520727791177062,78.2277801102371,4.06605935815602e-13,0.423672293236493,-129.331966411049,0.876549426138467,1.45194263299961e-24
"50m","spec_spca_alpha","Std PCA alpha hull","spec_spca_mean","Std PCA mean distance",74,0.929328099756866,0.863650716997707,456.055582065579,7.08235880568238e-33,0.00794964959266643,1.81656006882416,0.948789337282488,9.17187814256447e-38
"50m","spec_spca_rao","Std PCA Rao's Q","spec_spca_mean","Std PCA mean distance",74,0.899977024882214,0.809958645315842,306.864906112996,1.13422733548505e-27,0.0131125046306728,5.17348006894134,0.925064790818215,5.41172490362009e-32
