"quad_id","scale","brightness_n_pixels","mean_pixel_brightness","median_pixel_brightness","sd_pixel_brightness","blue_brightness_n_pixels","mean_blue_pixel_brightness","green_brightness_n_pixels","mean_green_pixel_brightness","red_brightness_n_pixels","mean_red_pixel_brightness","nir_brightness_n_pixels","mean_nir_pixel_brightness"
"1017_d","10m",6878,0.0458137486525385,0.0451827123761177,0.00915194642758242,6878,0.0151661800259109,6878,0.0362760721142778,6878,0.0873808923967276,6878,0.370688072873269
"1018_a","10m",5184,0.0370063137738781,0.0362849067896605,0.00451423628033565,5184,0.0116806706201616,5184,0.0297228336477361,5184,0.0708186579613159,5184,0.312678685738363
"1018_b","10m",4436,0.0412990038956678,0.0384966023266315,0.00981688983605926,4436,0.0199372540030603,4436,0.0356322299821261,4436,0.0682763005508559,4436,0.265520617769621
"1018_c","10m",4161,0.042325175591789,0.0375581569969654,0.0137018366328971,4161,0.0152544194963927,4161,0.0346580820513393,4161,0.0792817318132421,4161,0.337425610749223
"1018_d","10m",6240,0.0457758329498271,0.0437991190701723,0.0104747825750295,6240,0.0158224683067316,6240,0.03680925022409,6240,0.0891522874593138,6240,0.367481986677919
"1019_a","10m",6534,0.0493315034516026,0.0478542968630791,0.0123098953459861,6534,0.0176963802061594,6534,0.0397615972997166,6534,0.0960999593847455,6534,0.406215544062369
"1019_b","10m",7882,0.0586163897426037,0.0586893912404776,0.0149792795537709,7882,0.0214114875885966,7882,0.0468490022809222,7882,0.113201548136829,7882,0.487014378940536
"1019_c","10m",7598,0.0507911670380366,0.050508638843894,0.0110056472117071,7598,0.0196620939399063,7598,0.0415495435500523,7598,0.107072530111562,7598,0.5026532628681
"1019_d","10m",6989,0.0480844126834384,0.0483461134135723,0.00924143581167445,6989,0.01967991954623,6989,0.0396826644011461,6989,0.101318811659871,6989,0.493163777327668
"102_a","10m",5286,0.0604335810355574,0.0600940603762865,0.0180675637442115,5286,0.0179127078524239,5286,0.0481524491111124,5286,0.115586680233531,5286,0.494999830945664
"102_b","10m",5853,0.0560150635189253,0.0540603660047054,0.0167080394037685,5853,0.0163739493846756,5853,0.0450913708043896,5853,0.101237867595909,5853,0.440267047233181
"102_c","10m",5277,0.0613228883255419,0.0608924739062786,0.0180327455209548,5277,0.0179924584536099,5277,0.0487481250176976,5277,0.116597848592295,5277,0.504038508787641
"102_d","10m",7148,0.0588029212014521,0.0593844670802355,0.0150729690120136,7148,0.0171413239835627,7148,0.0466971386922896,7148,0.118853294820612,7148,0.523188595719444
"1020_a","10m",7266,0.0474953152141397,0.0474897529929876,0.00878035209862972,7266,0.020514494420843,7266,0.0394923424103219,7266,0.102627588751294,7266,0.51092142835081
"1020_b","10m",7202,0.0488838025678329,0.0489563774317503,0.00963074948725994,7202,0.0215150661952569,7202,0.0406742040938751,7202,0.102648010955763,7202,0.490251839399044
"1020_c","10m",7382,0.0531028146613051,0.0539437383413315,0.0113985445903461,7382,0.0206230222842882,7382,0.0434508959091898,7382,0.109745651370983,7382,0.517821369536849
"1020_d","10m",6971,0.0499756055840109,0.0502478778362274,0.0102735818877107,6971,0.0206470587095545,6971,0.0412549344541499,6971,0.10721707934668,6971,0.519334526639162
"1021_a","10m",6804,0.0501092568353073,0.0502129346132278,0.0106072261565494,6804,0.018404828151034,6804,0.0402446542711073,6804,0.107577880058853,6804,0.519987195561312
"1021_b","10m",6499,0.0489184117610454,0.0485392361879349,0.0104118286082948,6499,0.0171613105466016,6499,0.039774159220137,6499,0.105373925786863,6499,0.500759899573044
"1021_c","10m",7396,0.052376805128718,0.0529061108827591,0.0111714736065353,7396,0.0170521000987614,7396,0.0420834301756975,7396,0.112584388057985,7396,0.5364512516644
"1021_d","10m",6058,0.0500658019001544,0.0503994654864073,0.0100832769226114,6058,0.0196022747918866,6058,0.0409902043624076,6058,0.107886745849262,6058,0.522055680681083
"1022_a","10m",7025,0.0528994607397776,0.0535331070423126,0.0115170684241608,7025,0.0170436035743526,7025,0.0423699031014755,7025,0.11293977065378,7025,0.534242416461443
"1022_b","10m",6887,0.0507970850406796,0.051264114677906,0.0103030682946034,6887,0.0156930225758173,6887,0.0405525313829977,6887,0.108972149805787,6887,0.510886888254428
"1022_c","10m",7643,0.0577179101573229,0.0580953173339367,0.0138477938950697,7643,0.0190726761615434,7643,0.045728552276275,7643,0.116056768073708,7643,0.517302263937788
"1022_d","10m",7136,0.0504043931997644,0.0496735647320747,0.0112635905595789,7136,0.0173623469710342,7136,0.0409179913766192,7136,0.107911940110124,7136,0.514358464296105
"1023_a","10m",8477,0.0549536438849339,0.0538203790783882,0.0127981693117473,8477,0.017725718386755,8477,0.0438128736047131,8477,0.113842304426823,8477,0.532524578228999
"1023_b","10m",8864,0.0578057451933515,0.0566050205379725,0.0143518556852609,8864,0.0184695590152318,8864,0.0457068696266808,8864,0.114744170853967,8864,0.511582109256385
"1023_c","10m",8166,0.0646369020034202,0.0652834884822369,0.0154906026232326,8166,0.0213891440647492,8166,0.0513787525498913,8166,0.115790376093087,8166,0.477422628387218
"1023_d","10m",7237,0.0577064244172097,0.0576714016497135,0.0147086590288916,7237,0.0187181756085481,7237,0.0459690367054449,7237,0.105316037618088,7237,0.441794509229816
"1024_a","10m",7733,0.0597320532708778,0.0602098777890205,0.0129685200251791,7733,0.0202642094538885,7733,0.0475283720214875,7733,0.118058683853512,7733,0.505783577004642
"1024_b","10m",6282,0.0541183092352388,0.0531288273632526,0.0138133294271903,6282,0.0199546337965247,6282,0.0434863780605447,6282,0.102986645166314,6282,0.427506583810721
"1024_c","10m",6205,0.0522796873672656,0.0512621514499187,0.012893176991074,6205,0.0186188085132599,6205,0.0416616770809256,6205,0.108242895743177,6205,0.471932030245524
"1024_d","10m",7811,0.0564822151481003,0.0573444217443466,0.0117934796588609,7811,0.0197642377584041,7811,0.0449329057973691,7811,0.115604530836134,7811,0.50547208667442
"103_a","10m",7116,0.0531355316558054,0.05133356153965,0.0148602201845065,7116,0.0162256002733215,7116,0.0426422346033031,7116,0.0981647187853045,7116,0.433573651883925
"103_b","10m",6618,0.063502079028446,0.0611201133579016,0.0213511648311109,6618,0.0187340094905,6618,0.0506607125854133,6618,0.111908305932339,6618,0.470141421732256
"103_c","10m",6621,0.058582828246398,0.0571776553988457,0.0173352646431629,6621,0.0173511497308651,6621,0.0467371815677378,6621,0.107013814453997,6621,0.46138062814867
