"scale","x_metric","x_label","y_metric","y_label","n","pearson_r","r_squared","f_statistic","f_p_value","slope","intercept","spearman_r","spearman_p_value"
"10m","spec_spca_mean","Std PCA mean distance","spec_spca_hull3d_v","Std PCA 3D hull volume",1744,0.657580365220907,0.432411936724061,1327.1272644913,1.68283787992749e-216,8380.25990514378,-28197.3561727319,0.664043084956665,3.06324772924996e-222
"10m","spec_spca_mean","Std PCA mean distance","spec_spca_hull3d_a","Std PCA 3D hull area",1744,0.654810891877951,0.428777304121998,1307.59871617574,4.38992955839081e-214,1030.54149416067,-1705.08494291014,0.637832853229605,8.21998820540979e-200
"10m","spec_spca_convex","Std PCA convex hull","spec_spca_hull3d_v","Std PCA 3D hull volume",1744,0.959581055341124,0.920795801769586,20251.7836493507,0,20.4262016168126,-9387.45344938848,0.969011953811408,0
"10m","spec_spca_convex","Std PCA convex hull","spec_spca_hull3d_a","Std PCA 3D hull area",1744,0.992451192245579,0.984959368989673,114077.608818532,0,2.60889165891091,424.997709595269,0.988974408488785,0
"10m","spec_spca_hull3d_v","Std PCA 3D hull volume","spec_spca_hull3d_a","Std PCA 3D hull area",1744,0.980159162977666,0.960711984769079,42597.2212551622,0,0.121042404317989,1818.65773365317,0.992172052248546,0
"20m","spec_sa","Spectral angle entropy","spec_alpha","Raw PCA alpha hull",436,0.252707086184284,0.0638608714077513,29.6063024655773,8.86439935438469e-08,441.577563399634,-598.313095904035,0.224253831558388,2.25090978971009e-06
"20m","spec_sa","Spectral angle entropy","spec_rao_q","Raw PCA Rao's Q",436,0.274461311675405,0.075329011606584,35.356133638474,5.65227244632605e-09,219.945560514107,-447.824523329886,0.139738242901726,0.00345784819206897
"20m","spec_sa","Spectral angle entropy","spec_pca_mean","Raw PCA mean distance",436,0.179196162425499,0.0321112646280257,14.3986476329919,0.000168914864163807,2.58063544730307,0.712101531499474,0.148380903705559,0.00189249946284611
"20m","spec_sa","Spectral angle entropy","spec_convex","Raw PCA convex hull",436,0.18855071900849,0.0355513736386186,15.9980487684152,7.45306183348365e-05,1410.31455422812,-2534.52115507461,0.0959521687731702,0.0452405785471839
"20m","spec_sa","Spectral angle entropy","spec_hull3d_v","Raw PCA 3D hull volume",436,0.233370300753116,0.0544616972735998,24.9977991886614,8.34497579146557e-07,20108.6268127667,-44615.9154644732,0.141458290651873,0.00307484211394742
"20m","spec_sa","Spectral angle entropy","spec_hull3d_a","Raw PCA 3D hull area",436,0.202797192084909,0.0411267011175234,18.6145430327524,1.98305864331475e-05,3728.12522237729,-6940.82114652374,0.108187094284823,0.0238732906125887
"20m","spec_sa","Spectral angle entropy","spec_spca_alpha","Std PCA alpha hull",436,0.636529091250138,0.405169284007727,295.619349390891,6.62279559299362e-51,1039.20924857014,-2293.61200606828,0.632357457196076,4.55830433870541e-50
"20m","spec_sa","Spectral angle entropy","spec_spca_rao","Std PCA Rao's Q",436,0.524968066381707,0.275591470720549,165.109456140291,2.99683933698162e-32,656.020996414362,-1704.32032127014,0.618152295170618,2.6159646630129e-47
"20m","spec_sa","Spectral angle entropy","spec_spca_mean","Std PCA mean distance",436,0.646754346449845,0.418291184651766,312.077742934307,5.15176766122951e-53,10.4685734278766,-22.5671895699022,0.654927002939863,9.2709962455562e-55
"20m","spec_sa","Spectral angle entropy","spec_spca_convex","Std PCA convex hull",436,0.297928892784671,0.0887616251559002,42.2749374709459,2.18418745124544e-10,4381.55609851458,-9852.33526096853,0.307689322890462,5.1593513285113e-11
"20m","spec_sa","Spectral angle entropy","spec_spca_hull3d_v","Std PCA 3D hull volume",436,0.347663058937094,0.120869602549497,59.6696549893045,7.84125326192741e-14,116657.746890047,-287000.316672039,0.424943877650745,1.51858437042758e-20
"20m","spec_sa","Spectral angle entropy","spec_spca_hull3d_a","Std PCA 3D hull area",436,0.335294129455892,0.112422153247584,54.9711945695527,6.46817318424728e-13,13144.4820855872,-30030.5567437198,0.3703346781462,1.27790409071123e-15
"20m","spec_alpha","Raw PCA alpha hull","spec_rao_q","Raw PCA Rao's Q",436,0.814037811960992,0.662657559302239,852.526531029753,1.83315035684326e-104,0.373326712196543,-68.4331659380987,0.882425035671445,3.22884345302814e-144
"20m","spec_alpha","Raw PCA alpha hull","spec_pca_mean","Raw PCA mean distance",436,0.88732398407637,0.787343852717161,1606.85330024703,5.50436820125737e-148,0.00731291617930465,3.25069952326797,0.86436873306466,1.18411280907261e-131
"20m","spec_alpha","Raw PCA alpha hull","spec_convex","Raw PCA convex hull",436,0.711178296572245,0.5057745695154,444.14178152357,2.04994745969268e-68,3.04422473889204,-526.056395650345,0.713108921155067,6.09214360984773e-69
"20m","spec_alpha","Raw PCA alpha hull","spec_hull3d_v","Raw PCA 3D hull volume",436,0.730469380843038,0.533585516349212,496.502836453386,6.95035088744549e-74,36.0204609502602,-11161.9125980712,0.797442080504895,2.89717139108734e-97
