quad_id,scale,elev_mean,tri5_mean,tri11_mean,tri21_mean,Name,sub_id
1100_d,10m,211.74503308961707,1.4192293776395986,6.5581565656243574,22.51038597276064,1100,1100_d
12_a,10m,244.5246651375979,2.3783335185093555,11.331951768664295,39.22157751947663,12,12_a
12_b,10m,247.49217614714692,3.625822049200295,14.601507772156612,44.23201694235377,12,12_b
12_c,10m,248.67051771457383,2.8819150753172984,11.51321676198241,38.440780536813584,12,12_c
12_d,10m,245.9874872632526,2.045112655567384,9.845653796580876,35.980555468751696,12,12_d
111_a,10m,237.30327845318936,1.4996223744306054,7.248392529888639,27.740035227931212,111,111_a
111_b,10m,239.30542555450748,2.173658949868258,9.93623687123143,32.19859460994142,111,111_b
111_c,10m,240.88760855988477,1.7411513200321913,8.495517389228064,31.615958253009598,111,111_c
111_d,10m,239.17654330304973,2.183138186016793,9.86668666359687,31.5450688454446,111,111_d
210_a,10m,231.16500948878402,2.047523187822373,9.404389339595856,33.34947959184014,210,210_a
210_b,10m,233.32950224688813,2.3715969574668576,10.679426513452567,34.978127348377214,210,210_b
210_c,10m,235.13142143405062,1.5693079789113176,7.626270746941428,29.26734277995446,210,210_c
210_d,10m,233.05363188054739,2.5998289374804817,12.065646176520096,39.10317368641888,210,210_d
309_a,10m,225.6756119593245,1.6447839376361322,7.676792339331429,26.831290538586877,309,309_a
309_b,10m,227.20122647625314,1.5633632302998544,7.34330158920037,25.93919392841467,309,309_b
309_c,10m,228.4887936409469,1.4497692316241215,6.614260350533631,23.87764551933686,309,309_c
309_d,10m,226.91426677480817,1.543272168743766,7.242137897370719,25.35799989258596,309,309_d
408_a,10m,220.2997896159826,1.4642741592237591,5.835158641717944,19.333548457871746,408,408_a
408_b,10m,221.7605841555382,1.414547093227489,6.378782712966612,21.831271864681163,408,408_b
408_c,10m,222.645581641215,1.9637321245924186,7.9128134181593826,26.094362012054148,408,408_c
408_d,10m,221.06065608754034,1.6416793904971152,6.971029801059961,23.847754380662863,408,408_d
507_a,10m,216.16861955402948,1.3830284448965509,6.514102502026818,23.216707944489247,507,507_a
507_b,10m,217.4761153758515,1.5698997512955837,6.92159881238298,23.675968880397104,507,507_b
507_c,10m,218.6070298213269,1.3512266408408742,5.865074290269152,21.09070960666395,507,507_c
507_d,10m,217.15764308956489,1.3846184760248441,6.430396816929641,22.220898486266137,507,507_d
606_a,10m,210.93229705985507,1.3423579974045858,6.139236852497649,21.579006702979903,606,606_a
606_b,10m,212.17112014000818,1.5432506440318852,7.112362124710728,24.72447023886675,606,606_b
606_c,10m,213.59564607170304,1.3808637425959494,6.444715765327492,23.260889760308352,606,606_c
606_d,10m,212.35058394198907,1.3695038192100992,6.438474011328049,22.597776847304413,606,606_d
705_a,10m,208.14596034695782,1.3706574257557067,5.735294934043317,16.2689708555364,705,705_a
705_b,10m,208.57762999364482,0.760719134240093,3.0720549688910075,11.726840336437336,705,705_b
705_c,10m,209.19989616786097,0.6569899060267659,3.0580468462237964,11.970513793996375,705,705_c
705_d,10m,208.78209488722865,1.1398768660882197,5.4039804208785425,17.816954493860877,705,705_d
804_a,10m,208.88636330806284,1.1782769347062936,6.1306947634102205,23.642525382195963,804,804_a
804_b,10m,207.6780084580489,1.5412025789721,6.253021646035794,17.837315363879434,804,804_b
804_c,10m,207.4228068766796,1.5128263492039549,7.183197555739419,23.287585241075536,804,804_c
