scale,response,model_type,predictor,n,r_squared,adj_r_squared,aic,bic,residual_sd,delta_aic
50m,spec_sa,Biodiversity x elevation,sp_shannon,80,0.22873404219246546,0.1875998577760638,164.94504224144362,179.2372020494869,0.6500131024846892,5.497086238064469
50m,spec_pca_mean,Null,NA,74,0,0,123.37391832907288,127.98204851548122,0.5457713423125761,9.57501018976356
50m,spec_pca_mean,Environment,NA,74,0.055703903768634155,0.029104013733947887,123.13257127312843,132.34883164594513,0.5377706309505459,9.333663133819115
50m,spec_pca_mean,Biodiversity,phy_faith,74,0.01612607562706538,0.0024611600107746767,124.1708621616536,131.0830574412661,0.545099313263726,10.371954022344283
50m,spec_pca_mean,Biodiversity + environment,phy_faith,74,0.05592993757433043,0.015469792041801655,125.11485595703391,136.63518142305475,0.5415334038392969,11.315947817724592
50m,spec_pca_mean,Biodiversity,phy_afaith,74,0.14094668759063694,0.12901539158495134,114.13152045590287,121.04371573551538,0.5093495982728845,0.33261231659355417
50m,spec_pca_mean,Biodiversity + environment,phy_afaith,74,0.1897991593837916,0.15507626621452542,113.79890813930932,125.31923360533017,0.5016715613289296,0
50m,spec_pca_mean,Biodiversity,sp_shannon,74,0.024860960471613843,0.011317362700386302,123.5109525295647,130.4231478091772,0.542674208415074,9.712044390255386
50m,spec_pca_mean,Biodiversity + environment,sp_shannon,74,0.11151632229403392,0.07343845039234964,120.62423216818898,132.14455763420983,0.5253489452997434,6.825324028879663
50m,spec_rao_q,Null,NA,74,0,0,114.82371961127058,119.43184979767892,0.5151347351502459,9.672982145642038
50m,spec_rao_q,Environment,NA,74,0.06959281894489447,0.04338416595742667,113.4858806036446,122.70214097646128,0.5038364897676589,8.335143138016065
50m,spec_rao_q,Biodiversity,phy_faith,74,0.02574391847770828,0.012212584012120997,114.89371876462027,121.8059140442328,0.5119795090760229,9.742981298991737
50m,spec_rao_q,Biodiversity + environment,phy_faith,74,0.07266264127053124,0.032919611610696786,115.24131838962847,126.76164385564933,0.5065847631735264,10.090580923999937
50m,spec_rao_q,Biodiversity,phy_afaith,74,0.11918797782874978,0.10695447752081577,107.43230231702036,114.34449759663286,0.48680791825197833,2.2815648513918205
50m,spec_rao_q,Biodiversity + environment,phy_afaith,74,0.19087111125962644,0.15619415888503896,105.15073746562854,116.67106293164939,0.47319712651682544,0
50m,spec_rao_q,Biodiversity,sp_shannon,74,0.01199428275724526,-0.001728018871126391,115.930776813234,122.84297209284651,0.515579624310743,10.780039347605467
50m,spec_rao_q,Biodiversity + environment,sp_shannon,74,0.10930580741783083,0.07113319916430916,112.25791409294618,123.77823955896703,0.4964751954046587,7.107176627317642
50m,spec_alpha,Null,NA,74,0,0,161.73833694291164,166.34646712932,0.7072747086080172,11.918781492031798
50m,spec_alpha,Environment,NA,74,0.09542958908833885,0.06994873244293998,158.31649717077696,167.53275754359365,0.6820898279928095,8.496941719897109
50m,spec_alpha,Biodiversity,phy_faith,74,0.02207852471479572,0.008496282002501299,162.08622009943338,168.9984153790459,0.704263696674881,12.26666464855353
50m,spec_alpha,Biodiversity + environment,phy_faith,74,0.09598114176222176,0.05723747640917398,160.27136265645814,171.791688122479,0.6867351604237596,10.451807205578291
50m,spec_alpha,Biodiversity,phy_afaith,74,0.1714612250181794,0.15995374203232082,149.81955545087985,156.73175073049237,0.6482458262553145,0
50m,spec_alpha,Biodiversity + environment,phy_afaith,74,0.20834629327820667,0.17441827727584402,150.44962653177,161.96995199779087,0.6426406057153561,0.6300710808901613
50m,spec_alpha,Biodiversity,sp_shannon,74,0.02608475488372751,0.012558154257112708,161.782443204853,168.69463848446551,0.7028196451278415,11.962887753973149
50m,spec_alpha,Biodiversity + environment,sp_shannon,74,0.15099853810298552,0.11461276116454189,155.6249535061047,167.14527897212554,0.6655102634696983,5.805398055224856
