"quad_id","n_pixels","n_pairs","method","spectral_entropy","exact_entropy","boot_mean","boot_sd","boot_cv","boot_median","boot_min","boot_max"
"1309_d",6288,19766328,"bootstrap_mean",2.79220164500238,NA,2.79220164500238,0.00744647378296232,0.00266688252844861,2.79254318189747,2.77090682801164,2.80609864049548
"1310_a",7512,28211316,"bootstrap_mean",2.73949707667056,NA,2.73949707667056,0.114504927786185,0.0417977915586421,2.72106111429121,2.70258686852106,3.40148234491986
"1310_b",8333,34715278,"bootstrap_mean",2.77342674068967,NA,2.77342674068967,0.00848424186424195,0.00305911879328464,2.77421162749645,2.74938243769786,2.79203399664255
"1310_c",7407,27428121,"bootstrap_mean",2.92688471569813,NA,2.92688471569813,0.0105133848022703,0.00359200509192674,2.92674580963775,2.90386497159783,2.95165948946779
"1310_d",8205,33656910,"bootstrap_mean",2.79920318266496,NA,2.79920318266496,0.00916340590439553,0.00327357655247862,2.79877027790525,2.78252752517207,2.8211709583651
"1311_a",8211,33706155,"bootstrap_mean",2.81326766200028,NA,2.81326766200028,0.00980430534095984,0.00348502400727445,2.81316866462524,2.79108111800834,2.83825502437067
"1311_b",6338,20081953,"bootstrap_mean",2.87026237664846,NA,2.87026237664846,0.00734904162881429,0.0025604076089363,2.87057517945213,2.85136114443437,2.88691600466629
"1311_c",6739,22703691,"bootstrap_mean",2.79251974628298,NA,2.79251974628298,0.00833903373216338,0.00298620403428235,2.79307232666747,2.77421852568681,2.81268693752421
"1311_d",6387,20393691,"bootstrap_mean",2.82631670091605,NA,2.82631670091605,0.00917630868907166,0.00324673759529408,2.82496091610407,2.79954937229437,2.84666389182765
"1312_a",6034,18201561,"bootstrap_mean",2.82499258293205,NA,2.82499258293205,0.00802469348929084,0.00284060692327979,2.82490059244902,2.80170061808914,2.84264799007023
"1312_b",7522,28286481,"bootstrap_mean",2.83636693192687,NA,2.83636693192687,0.28381380989883,0.100062444919996,2.69232898472845,2.67134674126759,3.38722573436907
"1312_c",4943,12214153,"bootstrap_mean",2.86907613937051,NA,2.86907613937051,0.00773718851845196,0.00269675259303141,2.86972342017359,2.85524673688514,2.88938214055526
"1312_d",6561,21520080,"bootstrap_mean",2.78998453205805,NA,2.78998453205805,0.00898653643237647,0.00322099865756155,2.7904180174617,2.77048585737118,2.80983928363705
"1313_a",7918,31343403,"bootstrap_mean",2.83671547039282,NA,2.83671547039282,0.231069334276889,0.0814566482569687,2.75120257328738,2.72666658250462,3.4429196092887
"1313_b",7509,28188786,"bootstrap_mean",2.81742605652005,NA,2.81742605652005,0.00979288463520453,0.00347582667255524,2.81718852900715,2.79481408147544,2.8345421232623
"1313_c",8324,34640326,"bootstrap_mean",2.89955223168472,NA,2.89955223168472,0.0118318512142212,0.00408057874761806,2.89994406908251,2.87428317501997,2.92087721048448
"1313_d",6968,24273028,"bootstrap_mean",2.82946027843725,NA,2.82946027843725,0.00914307688776722,0.00323138548982108,2.8295992447689,2.80632587699257,2.84692125800079
"1314_a",7818,30556653,"bootstrap_mean",2.81426703243955,NA,2.81426703243955,0.00776577355816253,0.00275943024192369,2.81378313577986,2.8010402138347,2.83192127870641
"1314_b",8392,35208636,"bootstrap_mean",2.95071278047986,NA,2.95071278047986,0.0107741765686016,0.00365138099508603,2.95154428527061,2.92187827177328,2.97893853158679
"1314_c",8029,32228406,"bootstrap_mean",2.82354983753455,NA,2.82354983753455,0.00988145176527822,0.0034996555165842,2.82303213199904,2.80138224740628,2.84346948501704
"1314_d",8397,35250606,"bootstrap_mean",2.77944627263788,NA,2.77944627263788,0.139833551961593,0.0503098596789503,2.75014812148454,2.72754051541454,3.43576543102339
"1315_a",8283,34299903,"bootstrap_mean",2.86948013292217,NA,2.86948013292217,0.0110259309916245,0.00384248382315724,2.86768497405827,2.84783472029101,2.89556782113417
"1315_b",9077,41191426,"bootstrap_mean",2.82887997957035,NA,2.82887997957035,0.0103369276580286,0.00365407077453976,2.83036856465762,2.80843359890671,2.85166234210127
"1315_c",8444,35646346,"bootstrap_mean",2.90521999129648,NA,2.90521999129648,0.179005959418431,0.0616152855737951,2.95482184564757,2.2524277148571,2.97631053380564
"1315_d",8314,34557141,"bootstrap_mean",2.92940725192263,NA,2.92940725192263,0.00958410965307531,0.00327168905818235,2.92926173333868,2.90818205467764,2.94940119621892
"1316_a",8443,35637903,"bootstrap_mean",2.77008973848281,NA,2.77008973848281,0.333975481761968,0.120564860091821,3.02437407858475,2.32731952761369,3.05202046185184
"1316_b",4972,12357906,"bootstrap_mean",2.96842078215505,NA,2.96842078215505,0.0071748195068472,0.00241704934488376,2.96739018563985,2.95619220915157,2.98462569202507
"1316_c",1056,557040,"exact_all_pixels",2.88616692978356,2.88616692978356,NA,NA,NA,NA,NA,NA
"1316_d",6691,22381395,"bootstrap_mean",2.73472372370243,NA,2.73472372370243,0.341857827257757,0.125006348646777,2.43628618775148,2.40264329746948,3.11777813857425
"1317_a",4095,8382465,"bootstrap_mean",2.90060489786926,NA,2.90060489786926,0.205873347984415,0.0709760050862653,2.96720300302757,2.27705323684483,2.98549252595515
"1317_b",92,4186,"exact_all_pixels",3.49761994566626,3.49761994566626,NA,NA,NA,NA,NA,NA
"1317_c",1245,774390,"exact_all_pixels",2.62804769107913,2.62804769107913,NA,NA,NA,NA,NA,NA
"1317_d",1396,973710,"exact_all_pixels",2.88155279009727,2.88155279009727,NA,NA,NA,NA,NA,NA
"1318_a",3,3,"insufficient_pixels",NA,NA,NA,NA,NA,NA,NA,NA
"1318_b",1790,1601155,"exact_all_pixels",2.47186799864641,2.47186799864641,NA,NA,NA,NA,NA,NA
"1318_c",227,25651,"exact_all_pixels",3.05298250463744,3.05298250463744,NA,NA,NA,NA,NA,NA
"1321_c",1509,1137786,"exact_all_pixels",2.25241129188898,2.25241129188898,NA,NA,NA,NA,NA,NA
"1322_a",400,79800,"exact_all_pixels",3.0121269383385,3.0121269383385,NA,NA,NA,NA,NA,NA
"1322_b",5459,14897611,"bootstrap_mean",2.88199611541076,NA,2.88199611541076,0.00782935159698933,0.00271664196739329,2.88174571441253,2.85815116543483,2.90054883834223
"1322_c",6365,20253430,"bootstrap_mean",2.88923575071355,NA,2.88923575071355,0.00892644272303862,0.003089551526155,2.88944956246157,2.8714395787482,2.91290897997548
"1322_d",4318,9320403,"bootstrap_mean",2.94364515974825,NA,2.94364515974825,0.00752904254024858,0.00255772762396826,2.94362312368806,2.91923969380629,2.96360601785718
