"quad_id","n_pixels","manual_excluded","metric_method","pca_euclidean_mean","pca_euclidean_median","pca_euclidean_sd","rao_q_pca","rao_q_distance","alpha_hull_area","alpha_hull_method","alpha_hull_n_points","alpha_hull_alpha","pca_convex_hull_area","pca_hull_volume_3d","pca_hull_area_3d","pca_hull_3d_method","pca_hull_3d_n_points","sa_n_pixels","sa_n_pairs","sa_method","sa_entropy","sa_exact_entropy","sa_boot_mean","sa_boot_sd","sa_boot_cv","sa_boot_median","sa_boot_min","sa_boot_max","scale"
"1007_b",7968,FALSE,"all_pixels",8.39780786549932,7.73993337201216,4.48411980195197,181.255967667518,"squared_euclidean_pc1_pc3",683.70896004872,"all_pixels",7907,1,1084.10763908191,8770.08469519897,2755.91682523904,"all_pixels",7907,7968,31740528,"bootstrap_mean",2.83104590303268,NA,2.83104590303268,0.0116265524477492,0.00410680463898329,2.83264078875892,2.80484105880282,2.85155185816858,"10m"
"1007_c",6227,FALSE,"all_pixels",9.06799147727687,8.39208759925973,4.70980236871493,208.814291034078,"squared_euclidean_pc1_pc3",653.919281149419,"all_pixels",6192,1,1492.93734553987,14443.1318201902,3741.87235776773,"all_pixels",6192,6227,19384651,"bootstrap_mean",2.97128659044138,NA,2.97128659044138,0.00997996472937795,0.00335880246674402,2.97128249993454,2.9503491777359,3.00197059079829,"10m"
"1007_d",8287,FALSE,"all_pixels",8.68570994246429,8.12161008313247,4.65017491104506,194.126149008896,"squared_euclidean_pc1_pc3",765.390310049005,"all_pixels",8255,1,1570.2652403088,12454.7041140373,3780.72226700771,"all_pixels",8255,8287,34333041,"bootstrap_mean",2.85138807780482,NA,2.85138807780482,0.0105720805737218,0.00370769614140384,2.85234627194339,2.81372982885205,2.87648727649741,"10m"
"1008_a",5961,FALSE,"all_pixels",9.39704496346505,8.71681266949566,4.70996475861491,220.969001176918,"squared_euclidean_pc1_pc3",568.95276041394,"all_pixels",5898,1,941.103575637189,9227.6458556798,2630.91143270259,"all_pixels",5898,5961,17763780,"bootstrap_mean",2.83432232287496,NA,2.83432232287496,0.0104555250509652,0.0036888976834363,2.83437119149406,2.80886748928416,2.85686363643288,"10m"
"1008_b",7981,FALSE,"all_pixels",8.28333005590962,7.72693285168118,4.07407100724975,170.419063382298,"squared_euclidean_pc1_pc3",541.819416523643,"all_pixels",7775,1,765.789530922666,6351.19521343485,2111.47253492586,"all_pixels",7775,7981,31844190,"bootstrap_mean",2.81739112244064,NA,2.81739112244064,0.275260432226423,0.0977004683637858,2.68556995617349,2.65877580123861,3.3756598365323,"10m"
"1008_c",6769,FALSE,"all_pixels",9.84252174466579,9.28835054856989,5.05251108541989,244.798662543171,"squared_euclidean_pc1_pc3",685.838230544583,"all_pixels",6728,1,1213.17051905556,11010.4820329753,3226.48402649035,"all_pixels",6728,6769,22906296,"bootstrap_mean",2.80969573437501,NA,2.80969573437501,0.115541017560316,0.041122252543839,2.79071113704975,2.77021522716965,3.4778200255992,"10m"
"1008_d",7119,FALSE,"all_pixels",9.74813669011351,8.93848571006138,5.30563259656843,246.343904017527,"squared_euclidean_pc1_pc3",680.245057797879,"all_pixels",7119,1,1128.09360088505,9303.63315271772,2884.24576471251,"all_pixels",7119,7119,25336521,"bootstrap_mean",2.76334347746195,NA,2.76334347746195,0.081606671905616,0.0295318597095174,2.75382703421957,2.73242514448525,3.43309205013653,"10m"
"1009_a",NA,TRUE,"manual_excluded",NA,NA,NA,NA,"squared_euclidean_pc1_pc3",NA,"manual_excluded",NA,1,NA,NA,NA,"manual_excluded",NA,7147,25536231,"bootstrap_mean",2.77200847136035,NA,2.77200847136035,0.00890371288044159,0.00321200781759232,2.77065596318268,2.75639234706382,2.79409497831615,"10m"
"1009_b",NA,TRUE,"manual_excluded",NA,NA,NA,NA,"squared_euclidean_pc1_pc3",NA,"manual_excluded",NA,1,NA,NA,NA,"manual_excluded",NA,7837,30705366,"bootstrap_mean",2.82410938509222,NA,2.82410938509222,0.00739050487010366,0.00261693293790825,2.82436552949188,2.80832733069053,2.8468772854659,"10m"
"1009_c",NA,TRUE,"manual_excluded",NA,NA,NA,NA,"squared_euclidean_pc1_pc3",NA,"manual_excluded",NA,1,NA,NA,NA,"manual_excluded",NA,8061,32485830,"bootstrap_mean",2.8419230205988,NA,2.8419230205988,0.242487109783889,0.0853250098705334,2.74586425914989,2.72416457607455,3.44123522016103,"10m"
"1009_d",NA,TRUE,"manual_excluded",NA,NA,NA,NA,"squared_euclidean_pc1_pc3",NA,"manual_excluded",NA,1,NA,NA,NA,"manual_excluded",NA,6872,23608756,"bootstrap_mean",2.85001808007445,NA,2.85001808007445,0.00845250315330887,0.00296577176559107,2.85038173409022,2.82567056577509,2.87219507156285,"10m"
"101_a",8757,FALSE,"all_pixels",8.44722424880346,7.13490977375201,5.0962216208647,194.648213045258,"squared_euclidean_pc1_pc3",767.080161924245,"all_pixels",8757,1,1424.83190341363,11421.2057124437,3535.32262646053,"all_pixels",8757,8757,38338146,"bootstrap_mean",2.85194601345427,NA,2.85194601345427,0.00891326463900113,0.00312532726669865,2.85211063322619,2.82888263302443,2.87118283370846,"10m"
"101_b",9262,FALSE,"all_pixels",8.26463383700951,7.22108494364985,4.85899773259488,183.822964629946,"squared_euclidean_pc1_pc3",729.758336031881,"all_pixels",9262,1,1392.70164360041,9678.66168403551,3314.05242780602,"all_pixels",9262,9262,42887691,"bootstrap_mean",2.72375795683688,NA,2.72375795683688,0.114813003821564,0.0421524253039346,2.7035247388259,2.68500440904792,3.3916692312563,"10m"
