"scenario","scale","spectral_metric","spectral_label","spectral_transform","biodiversity_metric","biodiversity_label","biodiversity_transform","n","pearson_r","r_squared","f_statistic","f_p_value","slope","intercept"
"biodiversity_power2_spectral_identity","10m","spec_pca_mean","Raw PCA mean distance","identity","sp_simpson","Simpson diversity","power_2",1744,-0.0274191771149748,0.000751811273662353,1.31064059309343,0.252435972210785,-0.249153273772602,7.69271818808897
"biodiversity_power2_spectral_identity","20m","spec_pca_mean","Raw PCA mean distance","identity","sp_simpson","Simpson diversity","power_2",436,-0.0650482299867082,0.00423127222440368,1.84417535334072,0.175167923805713,-0.545111383297794,8.3291041987602
"biodiversity_power2_spectral_identity","50m","spec_pca_mean","Raw PCA mean distance","identity","sp_simpson","Simpson diversity","power_2",74,-0.118760757127626,0.0141041174335271,1.03002403516528,0.313551442098932,-0.936356903732515,9.13759743980579
"biodiversity_power2_spectral_identity","10m","spec_pca_mean","Raw PCA mean distance","identity","sp_even","Species evenness","power_2",1744,0.0179052746069036,0.000320598858748632,0.558662318441836,0.454900595523849,0.111289803509684,7.54372068790744
"biodiversity_power2_spectral_identity","20m","spec_pca_mean","Raw PCA mean distance","identity","sp_even","Species evenness","power_2",436,0.023848072346887,0.000568730554662354,0.246969519835462,0.619468704323895,0.188816285871758,7.89424650000918
"biodiversity_power2_spectral_identity","50m","spec_pca_mean","Raw PCA mean distance","identity","sp_even","Species evenness","power_2",74,-0.242678533807767,0.0588928707710872,4.50563656763765,0.0372228126168614,-1.71720361081432,9.62517181348752
"biodiversity_power2_spectral_identity","10m","spec_convex","Raw PCA convex hull","identity","phy_faith","Faith's PD","power_2",1744,0.00508925501240912,2.59005165813315e-05,0.0451198685125819,0.831808620178736,9.89178163182352e-06,1064.24026532061
"biodiversity_power2_spectral_identity","20m","spec_convex","Raw PCA convex hull","identity","phy_faith","Faith's PD","power_2",436,0.00746553781122155,5.57342548107788e-05,0.0241900148003268,0.876474717219442,9.77675837563034e-06,1453.2110402946
"biodiversity_power2_spectral_identity","50m","spec_convex","Raw PCA convex hull","identity","phy_faith","Faith's PD","power_2",74,0.113900543209979,0.0129733337435283,0.946357440449664,0.333905179257242,8.4446478777521e-05,1848.6991972175
"biodiversity_power2_spectral_identity","10m","spec_convex","Raw PCA convex hull","identity","phy_rao","Phylogenetic Rao's Q","power_2",1744,0.0157138682377556,0.000246925654993546,0.430250730942306,0.511952566807078,0.000320706311504059,1059.49136847614
