"scale","analysis_set","sv_measure","sv_label","diversity_measure","diversity_label","n","edge_n","pearson_r","r_squared","slope","intercept","f_statistic","f_p_value","spearman_r","spearman_p_value"
"10m","non_edge","spec_spca_convex","Std PCA convex-hull area","sp_shannon","Shannon diversity",1440,0,-0.0672216790715365,0.00451875413719665,-186.152956971764,2079.0487876232,6.52746445630612,0.0107243515246714,-0.0387231017707336,0.141910600796837
"10m","edge_only","spec_spca_convex","Std PCA convex-hull area","sp_shannon","Shannon diversity",304,304,-0.0277721674724415,0.000771293286117339,-76.7060683125419,1944.19202712604,0.233110368869871,0.629576864057666,-0.0367263673559381,0.523523575553853
"10m","all_quads","spec_spca_hull3d_v","Std PCA 3D hull volume","phy_faith","Faith's PD",1744,304,-0.0214750369887623,0.000461177213668708,-2.196745448613,30147.6812200189,0.803741373417991,0.370100982255308,0.0016499000390077,0.945107032938585
"10m","non_edge","spec_spca_hull3d_v","Std PCA 3D hull volume","phy_faith","Faith's PD",1440,0,-0.0425211752041448,0.00180805034074158,-4.38177662919093,31401.7475414241,2.60468579302198,0.106767669224332,7.4682331694129e-05,0.997740765609233
"10m","edge_only","spec_spca_hull3d_v","Std PCA 3D hull volume","phy_faith","Faith's PD",304,304,0.081037069671074,0.0065670066608745,8.36699860983121,24891.1906206909,1.99634602925563,0.158708697152783,-0.014292522803477,0.803991489178489
"10m","all_quads","spec_spca_hull3d_v","Std PCA 3D hull volume","phy_rao","Phylogenetic Rao's Q",1744,304,-0.0111195475314079,0.00012364433730324,-3.62791325704414,29624.8791728709,0.215415070435874,0.642613827293525,-0.00333596725636153,0.889280583863717
"10m","non_edge","spec_spca_hull3d_v","Std PCA 3D hull volume","phy_rao","Phylogenetic Rao's Q",1440,0,-0.0306938540362949,0.000942112675601379,-9.93892111383104,30698.3653975462,1.3560355658099,0.244418887562128,-0.0101169291385623,0.701284654336445
"10m","edge_only","spec_spca_hull3d_v","Std PCA 3D hull volume","phy_rao","Phylogenetic Rao's Q",304,304,0.0954730062512353,0.00911509492264842,34.0276713408922,24239.3259974873,2.77808113993314,0.0965993102756594,0.00599825985112684,0.917047673442732
"10m","all_quads","spec_spca_hull3d_v","Std PCA 3D hull volume","phy_afaith","Abundance-weighted Faith's PD",1744,304,-0.00274645924033993,7.5430383588486e-06,-0.348441711771015,29238.3655553247,0.0131400719371804,0.908751489125706,0.0265259554209659,0.268226060660741
"10m","non_edge","spec_spca_hull3d_v","Std PCA 3D hull volume","phy_afaith","Abundance-weighted Faith's PD",1440,0,-0.0285194410012128,0.000813358515021657,-3.54195720021787,30357.4118367281,1.17056163087097,0.279467266323221,0.00273090022963538,0.917533946232599
"10m","edge_only","spec_spca_hull3d_v","Std PCA 3D hull volume","phy_afaith","Abundance-weighted Faith's PD",304,304,0.161404954411488,0.0260515593085745,24.2679148410469,22167.4145547481,8.07801581940431,0.00478565354684784,0.135717885852433,0.0179068764748537
"10m","all_quads","spec_spca_hull3d_v","Std PCA 3D hull volume","sp_shannon","Shannon diversity",1744,304,-0.0536947196895887,0.00288312292254351,-3163.48800372726,32341.7920738434,5.03692219691578,0.0249376437091244,-0.0301116671918811,0.208795811439859
"10m","non_edge","spec_spca_hull3d_v","Std PCA 3D hull volume","sp_shannon","Shannon diversity",1440,0,-0.0600090720905271,0.00360108873316608,-3564.97110341101,32953.8685470276,5.19708074721698,0.0227707581259502,-0.0326970734647446,0.214967714328469
"10m","edge_only","spec_spca_hull3d_v","Std PCA 3D hull volume","sp_shannon","Shannon diversity",304,304,-0.0219677657958112,0.000482582734059614,-1237.75194369819,29450.7157327287,0.145810351243962,0.702840270626967,-0.0208441985854155,0.717372097237084
"10m","all_quads","spec_spca_hull3d_a","Std PCA 3D hull area","phy_faith","Faith's PD",1744,304,-0.0211346718121434,0.000446674352607007,-0.266982171132054,5468.30215162638,0.778454437873483,0.377735974109632,-0.00914620791686851,0.702690588476413
"10m","non_edge","spec_spca_hull3d_a","Std PCA 3D hull area","phy_faith","Faith's PD",1440,0,-0.0397317025101087,0.00157860818435178,-0.501556430378074,5599.45572389202,2.27362773645078,0.131811208176334,-0.00933900890011391,0.723271107589576
"10m","edge_only","spec_spca_hull3d_a","Std PCA 3D hull area","phy_faith","Faith's PD",304,304,0.0672134565433168,0.00451764874050034,0.895333171972109,4909.2393956264,1.37052145415228,0.2426452403472,-0.0285284479000963,0.620273902952181
"10m","all_quads","spec_spca_hull3d_a","Std PCA 3D hull area","phy_rao","Phylogenetic Rao's Q",1744,304,-0.0149590677707946,0.000223773708571226,-0.602719504914089,5426.37840002085,0.389901049934998,0.532433186684172,-0.0165172407220916,0.490613932767862
"10m","non_edge","spec_spca_hull3d_a","Std PCA 3D hull area","phy_rao","Phylogenetic Rao's Q",1440,0,-0.0316681072969576,0.00100286901977162,-1.25616757806996,5535.19558889919,1.44357336543756,0.229759807658197,-0.0224074832841787,0.39550720534877
"10m","edge_only","spec_spca_hull3d_a","Std PCA 3D hull area","phy_rao","Phylogenetic Rao's Q",304,304,0.0730239415676352,0.0053324960420734,3.35783521397925,4872.59771891128,1.61904736839004,0.204203464977356,-0.00670260582381844,0.907348377599716
"10m","all_quads","spec_spca_hull3d_a","Std PCA 3D hull area","phy_afaith","Abundance-weighted Faith's PD",1744,304,0.00138424845722844,1.91614379133932e-06,0.0216876235416911,5339.7511117322,0.00333792888046495,0.953934628070211,0.0208099692132598,0.385109300019852
