scale,quad_id,sample_rule,sample_size,sample_fraction,n_boot,metric_mean,metric_median,metric_sd,metric_min,metric_max,metric_method,metric_n_points_min,metric_n_points_max,metric_cv,metric_se,ci_low,ci_high,fixed_4000_mean,delta_from_fixed_4000,rule_type,rule_value,rule_label,rule_axis_label,sample_label,plot_sample_label,source_n_pixels,source_method,selection_note
10m,112_b,fixed_4000,4000,0.5449591280653951,50,8.552414772808373,8.547908722453684,0.11905608712957785,8.250309985324307,8.781336812026879,all_sampled_pixels,4000,4000,0.013920756919800697,0.016837073310172188,8.518579407218521,8.586250138398224,8.552414772808373,0,fixed,4000,"Fixed 4,000","4,000","Fixed 4,000 (54.5%)","4,000
54.5%",7340,bootstrap_mean,Original random bootstrap-mean quadrat selected with seed 20260703
10m,114_b,pct_1,72,0.009946125155408206,50,9.334144488709839,9.366699203329274,0.7381308010455837,7.951485197681106,11.102411972647532,all_sampled_pixels,72,72,0.0790785702897993,0.10438745896439812,9.12437003610814,9.543918941311539,9.386668610905314,-0.05252412219547509,percent,0.01,1% of pixels,1%,1% of pixels = 72 pixels (1.0%),"1%
72 px",7239,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,114_b,pct_2,145,0.02003039093797486,50,9.376575581802715,9.369971900668165,0.5064545542081935,8.300787624988612,10.466929499944861,all_sampled_pixels,145,145,0.05401274162297361,0.07162348992868471,9.232642790045254,9.520508373560176,9.386668610905314,-0.010093029102598905,percent,0.02,2% of pixels,2%,2% of pixels = 145 pixels (2.0%),"2%
145 px",7239,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,114_b,pct_3,217,0.029976516093383063,50,9.271729601974792,9.234897853155886,0.3390435598299808,8.64617532220219,10.152660443673716,all_sampled_pixels,217,217,0.03656745552175806,0.04794800005468127,9.175374488395033,9.368084715554552,9.386668610905314,-0.11493900893052178,percent,0.03,3% of pixels,3%,3% of pixels = 217 pixels (3.0%),"3%
217 px",7239,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,114_b,fixed_1250,1250,0.17267578394805913,50,9.388511458046445,9.399533270928108,0.1803456161328893,8.868629919661283,9.782048973849927,all_sampled_pixels,1250,1250,0.019209181022868508,0.02550472162496641,9.337257801039037,9.439765115053852,9.386668610905314,0.001842847141130477,fixed,1250,"Fixed 1,250","1,250","Fixed 1,250 (17.3%)","1,250
17.3%",7239,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,114_b,fixed_2000,2000,0.2762812543168946,50,9.346348464352914,9.331045339817686,0.12556874357220718,9.020847980674096,9.613625213766857,all_sampled_pixels,2000,2000,0.01343505905553681,0.01775810201699648,9.310662222281143,9.382034706424685,9.386668610905314,-0.040320146552399905,fixed,2000,"Fixed 2,000","2,000","Fixed 2,000 (27.6%)","2,000
27.6%",7239,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,114_b,fixed_3000,3000,0.4144218814753419,50,9.410013074615033,9.409772285561605,0.09236756914836305,9.200836406808897,9.632701878077636,all_sampled_pixels,3000,3000,0.009815881063708494,0.01306274690130497,9.383762501913285,9.436263647316782,9.386668610905314,0.02334446370971932,fixed,3000,"Fixed 3,000","3,000","Fixed 3,000 (41.4%)","3,000
41.4%",7239,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,114_b,fixed_4000,4000,0.5525625086337892,50,9.386668610905314,9.384439831383267,0.07184901868641232,9.22263514799447,9.549117010852076,all_sampled_pixels,4000,4000,0.007654368303035544,0.010160985666952223,9.366249345724182,9.407087876086447,9.386668610905314,0,fixed,4000,"Fixed 4,000","4,000","Fixed 4,000 (55.3%)","4,000
55.3%",7239,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,11_c,pct_1,62,0.010001613163413454,50,6.955418126261803,6.949503686400901,0.49692681241086734,6.037332103241693,8.48258178614646,all_sampled_pixels,62,62,0.07144456356039967,0.07027606376182795,6.814193088763117,7.096643163760488,7.002606514324476,-0.04718838806267289,percent,0.01,1% of pixels,1%,1% of pixels = 62 pixels (1.0%),"1%
62 px",6199,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,11_c,pct_2,124,0.020003226326826908,50,6.9253583383559425,6.91211202774033,0.3230861644509726,6.169593031102824,7.932149511354621,all_sampled_pixels,124,124,0.046652627729249344,0.045691283558166956,6.833538266364799,7.017178410347086,7.002606514324476,-0.07724817596853306,percent,0.02,2% of pixels,2%,2% of pixels = 124 pixels (2.0%),"2%
124 px",6199,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
