"scale","x_metric","x_label","y_metric","y_label","x_transform","y_transform","n","pearson_r","spearman_r","r_squared","f_statistic","f_p_value","slope","intercept","residual_shapiro_p","residual_abs_cor_fitted","spectral_group","biodiversity_group"
"10m","sp_shannon","Shannon diversity","spec_spca_mean","Std PCA mean distance","identity","identity",1744,-0.0318964474482303,0.00131225684884877,0.00101738335981772,1.77408673912973,0.183051356191666,-0.14745797870721,6.99121376421016,1.36511293125823e-48,0.0606526337872603,"standardized_pca","species"
"10m","sp_simpson","Simpson diversity","spec_spca_mean","Std PCA mean distance","identity","identity",1744,-0.0248121691009242,0.00196896441638474,0.00061564373549286,1.07311204193466,0.300387343042258,-0.238424621733219,6.97455483546111,1.24494201469271e-48,0.0471944444023005,"standardized_pca","species"
"10m","sp_even","Species evenness","spec_spca_mean","Std PCA mean distance","identity","identity",1744,-0.0137369490611173,-0.00936095253675104,0.00018870376950773,0.328784009264367,0.56644999885391,-0.115188062895594,6.92503923389731,1.07415464872832e-48,0.0113446814586051,"standardized_pca","species"
"10m","phy_faith","Faith's PD","spec_spca_convex","Std PCA convex hull","identity","identity",1744,-0.0257109679161645,-0.019998330455969,0.000661053871186042,1.15231758760821,0.283213197033311,-0.123554421643737,1942.85279873804,1.56965218788079e-41,0.0761074347499459,"standardized_pca","phylogenetic"
"10m","phy_rao","Phylogenetic Rao's Q","spec_spca_convex","Std PCA convex hull","identity","identity",1744,-0.0208447425749368,-0.0259149586661782,0.000434503293015386,0.757233756993798,0.38431549177622,-0.319492278117737,1928.87039339122,1.47705886949385e-41,0.0683304897232491,"standardized_pca","phylogenetic"
"10m","phy_afaith","Abundance-weighted Faith's PD","spec_spca_convex","Std PCA convex hull","identity","identity",1744,-0.00404106053952447,0.0167348026080911,1.63301702841019e-05,0.0284476211894038,0.866080339647609,-0.0240849854421851,1892.97287001866,1.24327812626732e-41,0.0951493018030547,"standardized_pca","phylogenetic"
"10m","sp_rich","Species richness","spec_spca_convex","Std PCA convex hull","identity","identity",1744,-0.0765894411256898,-0.0410356856698914,0.00586594249194561,10.2787664739938,0.00137009506086693,-55.8865503994923,2119.06010110263,3.10889685467473e-41,0.109020594598979,"standardized_pca","species"
"10m","sp_shannon","Shannon diversity","spec_spca_convex","Std PCA convex hull","identity","identity",1744,-0.0606062947022863,-0.038761312086885,0.00367312295754038,6.42216961066951,0.0113573958027891,-167.743768917272,2055.95201401884,2.13134840563113e-41,0.081878700514396,"standardized_pca","species"
"10m","sp_simpson","Simpson diversity","spec_spca_convex","Std PCA convex hull","identity","identity",1744,-0.0533320818457041,-0.0313698488149636,0.00284431095399688,4.96892284353599,0.0259338190424889,-306.815721043822,2056.79145149472,1.85801855515625e-41,0.072222883800585,"standardized_pca","species"
"10m","sp_even","Species evenness","spec_spca_convex","Std PCA convex hull","identity","identity",1744,-0.0359305389229685,-0.0202586172056729,0.00129100362729495,2.25183544647728,0.133637242979627,-180.378022008087,2016.25401285955,1.33667104815222e-41,0.0391492127651979,"standardized_pca","species"
"10m","phy_faith","Faith's PD","spec_spca_hull3d_v","Std PCA 3D hull volume","identity","identity",1744,-0.0214750369887623,0.00163778224717385,0.000461177213668708,0.803741373417992,0.370100982255308,-2.196745448613,30147.6812200189,1.00682922841749e-46,0.0794300192760431,"standardized_pca","phylogenetic"
"10m","phy_rao","Phylogenetic Rao's Q","spec_spca_hull3d_v","Std PCA 3D hull volume","identity","identity",1744,-0.0111195475314078,-0.00333596725636153,0.000123644337303238,0.21541507043587,0.642613827293528,-3.62791325704412,29624.8791728709,8.78601636472791e-47,0.06190415929432,"standardized_pca","phylogenetic"
"10m","phy_afaith","Abundance-weighted Faith's PD","spec_spca_hull3d_v","Std PCA 3D hull volume","identity","identity",1744,-0.00274645924033991,0.0265259554209659,7.54303835884849e-06,0.0131400719371807,0.908751489125705,-0.348441711771015,29238.3655553247,8.17178119383318e-47,0.0863170167075322,"standardized_pca","phylogenetic"
"10m","sp_rich","Species richness","spec_spca_hull3d_v","Std PCA 3D hull volume","identity","identity",1744,-0.0717366212877083,-0.0313097884762949,0.00514614283377619,9.01095246489082,0.00272182664959864,-1114.25674111628,33783.1685097362,1.91509234299125e-46,0.111758029297855,"standardized_pca","species"
"10m","sp_shannon","Shannon diversity","spec_spca_hull3d_v","Std PCA 3D hull volume","identity","identity",1744,-0.0536947196895886,-0.0301116671918811,0.0028831229225435,5.03692219691577,0.0249376437091245,-3163.48800372725,32341.7920738434,1.28817530199966e-46,0.0799000298192997,"standardized_pca","species"
"10m","sp_simpson","Simpson diversity","spec_spca_hull3d_v","Std PCA 3D hull volume","identity","identity",1744,-0.0432557661862949,-0.0237950120930591,0.00187106130836342,3.26549874752808,0.0709239729234144,-5297.11046802915,32085.6390158358,1.08566585539993e-46,0.0648577128337044,"standardized_pca","species"
"10m","sp_even","Species evenness","spec_spca_hull3d_v","Std PCA 3D hull volume","identity","identity",1744,-0.0286177945289571,-0.0215929878198175,0.000818978163701607,1.42782932220458,0.23228167783207,-3058.17264447784,31345.3763419194,8.50251374511505e-47,0.0304564695099805,"standardized_pca","species"
"10m","phy_faith","Faith's PD","spec_spca_hull3d_a","Std PCA 3D hull area","identity","identity",1744,-0.0211346718121434,-0.00915726211113253,0.000446674352607009,0.778454437873481,0.377735974109632,-0.266982171132055,5468.30215162638,8.51590736814589e-41,0.08162565419963,"standardized_pca","phylogenetic"
