"scale","x_metric","x_label","y_metric","y_label","x_transform","y_transform","n","pearson_r","spearman_r","r_squared","f_statistic","f_p_value","slope","intercept","residual_shapiro_p","residual_abs_cor_fitted","metric_group"
"10m","spec_spca_alpha","Std PCA alpha hull","spec_sa","Spectral angle entropy","identity","identity",1744,0.345669129732314,0.342078451363804,0.119487147249895,236.392472704076,4.03340097621964e-50,0.000242605649560359,2.70967349699807,3.65793590948698e-25,-0.0468536328457885,"spectral"
"10m","spec_spca_rao","Std PCA Rao's Q","spec_spca_mean","Std PCA mean distance","identity","identity",1744,0.907006581593872,0.971403473949047,0.8226609390546,8080.99100217034,0,0.0111881598482905,5.23858771748134,4.25097430287034e-29,0.582359555593039,"spectral"
"10m","spec_spca_rao","Std PCA Rao's Q","spec_spca_convex","Std PCA convex hull","identity","identity",1744,0.647184105507733,0.737428651241,0.418847266421845,1255.49084767186,1.4683147652761e-207,4.77945931209229,1201.23694028771,3.73178103782402e-39,0.470544063470641,"spectral"
"10m","spec_spca_rao","Std PCA Rao's Q","spec_spca_hull3d_v","Std PCA 3D hull volume","identity","identity",1744,0.655622388701819,0.773244620884406,0.429840716567079,1313.28656748592,8.6508816926607e-215,103.064867884469,14369.8303421481,4.44187540977367e-45,0.47003852320746,"spectral"
"10m","spec_spca_rao","Std PCA Rao's Q","spec_spca_hull3d_a","Std PCA 3D hull area","identity","identity",1744,0.649741905259227,0.755337555670187,0.422164543449891,1272.69904668084,9.9935440096033e-210,12.6135894140858,3538.18652429869,3.88913242633658e-38,0.466795847345237,"spectral"
"10m","spec_spca_rao","Std PCA Rao's Q","spec_sa","Spectral angle entropy","identity","identity",1744,0.365895556278535,0.454844245639307,0.133879558104379,269.267620225426,2.22376914288722e-56,0.000256130922667388,2.80583612373595,9.85380358904788e-23,0.229611529074333,"spectral"
"10m","spec_spca_mean","Std PCA mean distance","spec_spca_convex","Std PCA convex hull","identity","identity",1744,0.642632792025842,0.615625728305374,0.41297690538693,1225.51527492836,9.36927288920017e-204,384.738444439276,-746.184161697277,6.96989453589437e-38,0.336757575044736,"spectral"
"10m","spec_spca_mean","Std PCA mean distance","spec_spca_hull3d_v","Std PCA 3D hull volume","identity","identity",1744,0.657580365220907,0.664043084956665,0.432411936724061,1327.1272644913,1.68283787992749e-216,8380.25990514378,-28197.3561727319,2.24115856740772e-42,0.404887674840719,"spectral"
"10m","spec_spca_mean","Std PCA mean distance","spec_spca_hull3d_a","Std PCA 3D hull area","identity","identity",1744,0.654810891877951,0.637832853229605,0.428777304121998,1307.59871617574,4.38992955839081e-214,1030.54149416067,-1705.08494291014,1.00006302895579e-36,0.356880759729177,"spectral"
"10m","spec_spca_mean","Std PCA mean distance","spec_sa","Spectral angle entropy","identity","identity",1744,0.45957346296572,0.489429357427155,0.211207767862305,466.439597939536,7.45624367644717e-92,0.0260802408700904,2.66410214942441,7.4278041561988e-26,0.135606980141584,"spectral"
"10m","spec_spca_convex","Std PCA convex hull","spec_spca_hull3d_v","Std PCA 3D hull volume","identity","identity",1744,0.959581055341124,0.969011953811408,0.920795801769586,20251.7836493507,0,20.4262016168126,-9387.45344938848,1.26253575886669e-42,0.623483833497368,"spectral"
"10m","spec_spca_convex","Std PCA convex hull","spec_spca_hull3d_a","Std PCA 3D hull area","identity","identity",1744,0.992451192245579,0.988974408488785,0.984959368989673,114077.608818532,0,2.60889165891091,424.997709595269,2.76708389115604e-25,0.474062358336407,"spectral"
"10m","spec_spca_convex","Std PCA convex hull","spec_sa","Spectral angle entropy","identity","identity",1744,0.193307976562643,0.199636864763315,0.0373679738027436,67.6219038977211,3.82680749521326e-16,1.83233014980593e-05,2.80798144431674,3.09346526357731e-23,0.232308556424749,"spectral"
