"scale","x_metric","x_label","y_metric","y_label","x_transform","y_transform","n","pearson_r","spearman_r","r_squared","f_statistic","f_p_value","slope","intercept","residual_shapiro_p","residual_abs_cor_fitted","target_group","driver_metric","target_metric"
"10m","env_tri21","TRI 21x21","spec_spca_alpha","Std PCA alpha hull","identity","identity",1744,-0.134940043638513,-0.139155441083339,0.0182088153771637,32.3080476620949,1.53940430987558e-08,-1.66184843985737,600.510688457951,4.06487156246288e-30,0.0734648839448076,"spectral","env_tri21","spec_spca_alpha"
"10m","brightness_n_pixels","brightness_n_pixels","spec_spca_alpha","Std PCA alpha hull","identity","identity",1744,0.261544855645135,0.253042618875962,0.0684057115144346,127.912709353189,1.1403486797463e-28,0.0298713999401226,331.100363173848,3.74073898528154e-30,0.137868160339041,"spectral","brightness_n_pixels","spec_spca_alpha"
"10m","mean_pixel_brightness","563 nm brightness","spec_spca_alpha","Std PCA alpha hull","identity","identity",1744,0.434629032648156,0.400760064068929,0.188902396020672,405.706997842885,2.78521276477924e-81,8856.55847373096,49.6386227094345,1.01600681998566e-27,0.186500119699897,"spectral","mean_pixel_brightness","spec_spca_alpha"
"10m","mean_blue_pixel_brightness","Blue brightness","spec_spca_alpha","Std PCA alpha hull","identity","identity",1744,0.460659465338372,0.359961903139112,0.212207143005835,469.24117150113,2.4656973094489e-92,22020.6807282149,119.736122338717,2.99046183964016e-19,0.349293716631765,"spectral","mean_blue_pixel_brightness","spec_spca_alpha"
"10m","mean_green_pixel_brightness","Green brightness","spec_spca_alpha","Std PCA alpha hull","identity","identity",1744,0.482979280664964,0.432666392058826,0.233268985551646,529.98322119959,1.32035404552095e-102,12387.4652313275,-13.7595446464217,6.70366586803661e-26,0.220899142031796,"spectral","mean_green_pixel_brightness","spec_spca_alpha"
"10m","mean_red_pixel_brightness","Red brightness","spec_spca_alpha","Std PCA alpha hull","identity","identity",1744,0.12550939016216,0.0922804663923393,0.0157526070188774,27.8802276973984,1.45256004763199e-07,1589.77750750003,376.222463336889,2.11336758390283e-30,0.0497003161908152,"spectral","mean_red_pixel_brightness","spec_spca_alpha"
"10m","mean_nir_pixel_brightness","NIR brightness","spec_spca_alpha","Std PCA alpha hull","identity","identity",1744,-0.187189839852042,-0.201385096277814,0.0350400361438332,63.2562440400436,3.23639005191105e-15,-541.757686551834,801.143503126602,5.543369153886e-28,0.225497522049293,"spectral","mean_nir_pixel_brightness","spec_spca_alpha"
"10m","env_elev","Mean elevation","spec_spca_rao","Std PCA Rao's Q","identity","identity",1744,-0.0980772412017159,-0.199764471895777,0.00961914524173955,16.919300217289,4.08208610953088e-05,-0.819095368074165,329.021350931005,3.33120626886708e-61,0.0767329549714069,"spectral","env_elev","spec_spca_rao"
"10m","env_tri5","TRI 5x5","spec_spca_rao","Std PCA Rao's Q","identity","identity",1744,-0.0272950821525923,-0.0857662407093063,0.000745021509716761,1.29879510021297,0.254590107065421,-4.70410794572379,152.578575895753,2.58955499801922e-61,0.0101178518723071,"spectral","env_tri5","spec_spca_rao"
"10m","env_tri11","TRI 11x11","spec_spca_rao","Std PCA Rao's Q","identity","identity",1744,-0.0389532708767847,-0.104895159996093,0.00151735731200016,2.64725326660508,0.103909839831437,-1.50948703170347,157.026385519671,2.59786494753783e-61,0.0221999672696769,"spectral","env_tri11","spec_spca_rao"
