"quad_id","scale","composition_cluster","cluster_size","species_value","phylo_value","phylo_residual","phylo_residual_z","abs_phylo_residual_z","species_metric","species_label","phylo_metric","phylo_label"
"10_a","10m","10m_C6",286,6,576.239148,-73.4089772492601,-0.461916251104354,0.461916251104354,"sp_rich","Species richness","phy_faith","Faith's PD"
"10_b","10m","10m_C6",286,4,353.402485,-88.3299177248133,-0.555804289675116,0.555804289675116,"sp_rich","Species richness","phy_faith","Faith's PD"
"10_c","10m","10m_C6",286,3,345.348036,7.57349453741,0.0476552096973261,0.0476552096973261,"sp_rich","Species richness","phy_faith","Faith's PD"
"10_d","10m","10m_C6",286,4,435.997066,-5.73533672481334,-0.0360888455066114,0.0360888455066114,"sp_rich","Species richness","phy_faith","Faith's PD"
"1100_a","10m","10m_C3",339,2,23.553398,-210.263282200367,-1.32305381028679,1.32305381028679,"sp_rich","Species richness","phy_faith","Faith's PD"
"1100_b","10m","10m_C3",339,4,252.945569,-188.786833724813,-1.18791610726201,1.18791610726201,"sp_rich","Species richness","phy_faith","Faith's PD"
"1100_c","10m","10m_C3",339,4,211.547487,-230.184915724813,-1.44840804648929,1.44840804648929,"sp_rich","Species richness","phy_faith","Faith's PD"
"1100_d","10m","10m_C3",339,2,195.759126,-38.0575542003666,-0.239472111193475,0.239472111193475,"sp_rich","Species richness","phy_faith","Faith's PD"
"1101_a","10m","10m_C3",339,5,218.12295,-327.567313987037,-2.06117386906844,2.06117386906844,"sp_rich","Species richness","phy_faith","Faith's PD"
"1101_b","10m","10m_C4",374,4,212.227151,-229.505251724813,-1.44413135093168,1.44413135093168,"sp_rich","Species richness","phy_faith","Faith's PD"
"1101_c","10m","10m_C4",374,8,1020.716765,163.152917226293,1.02661808822119,1.02661808822119,"sp_rich","Species richness","phy_faith","Faith's PD"
"1101_d","10m","10m_C4",374,4,346.81347,-94.9189327248134,-0.597264792481686,0.597264792481686,"sp_rich","Species richness","phy_faith","Faith's PD"
"1102_a","10m","10m_C5",431,4,488.45217,46.7197672751867,0.293977937860994,0.293977937860994,"sp_rich","Species richness","phy_faith","Faith's PD"
"1102_b","10m","10m_C5",431,4,514.137215,72.4048122751866,0.455597676214809,0.455597676214809,"sp_rich","Species richness","phy_faith","Faith's PD"
"1102_c","10m","10m_C6",286,6,734.421869,84.7737437507399,0.533427536695692,0.533427536695692,"sp_rich","Species richness","phy_faith","Faith's PD"
"1102_d","10m","10m_C6",286,4,460.522595,18.7901922751867,0.118234792235465,0.118234792235465,"sp_rich","Species richness","phy_faith","Faith's PD"
"1103_a","10m","10m_C6",286,6,641.091866,-8.55625924926013,-0.0538391262757311,0.0538391262757311,"sp_rich","Species richness","phy_faith","Faith's PD"
"1103_b","10m","10m_C6",286,7,801.737798,48.1318114885165,0.302863038755401,0.302863038755401,"sp_rich","Species richness","phy_faith","Faith's PD"
"1103_c","10m","10m_C4",374,7,1205.698526,452.092539488516,2.84473233135648,2.84473233135648,"sp_rich","Species richness","phy_faith","Faith's PD"
"1103_d","10m","10m_C6",286,5,984.084725,438.394461012963,2.75853898969915,2.75853898969915,"sp_rich","Species richness","phy_faith","Faith's PD"
"1104_a","10m","10m_C6",286,7,1093.740987,340.135000488516,2.14025436918366,2.14025436918366,"sp_rich","Species richness","phy_faith","Faith's PD"
"1104_b","10m","10m_C4",374,7,1040.998556,287.392569488517,1.80837961878458,1.80837961878458,"sp_rich","Species richness","phy_faith","Faith's PD"
"1104_c","10m","10m_C4",374,6,1035.429591,385.78146575074,2.42747869650943,2.42747869650943,"sp_rich","Species richness","phy_faith","Faith's PD"
"1104_d","10m","10m_C4",374,5,970.816282,425.126018012963,2.67504907227745,2.67504907227745,"sp_rich","Species richness","phy_faith","Faith's PD"
"1105_a","10m","10m_C4",374,6,888.181881,238.53375575074,1.50094201481787,1.50094201481787,"sp_rich","Species richness","phy_faith","Faith's PD"
"1105_b","10m","10m_C4",374,6,910.033063,260.38493775074,1.63843767883409,1.63843767883409,"sp_rich","Species richness","phy_faith","Faith's PD"
"1105_c","10m","10m_C4",374,6,890.066018,240.41789275074,1.51279769694584,1.51279769694584,"sp_rich","Species richness","phy_faith","Faith's PD"
"1105_d","10m","10m_C6",286,5,361.816061,-183.874202987037,-1.15700403004088,1.15700403004088,"sp_rich","Species richness","phy_faith","Faith's PD"
"1106_a","10m","10m_C6",286,4,425.6858,-16.0466027248134,-0.100971118946919,0.100971118946919,"sp_rich","Species richness","phy_faith","Faith's PD"
"1106_b","10m","10m_C6",286,5,465.917207,-79.7730569870367,-0.501961378612687,0.501961378612687,"sp_rich","Species richness","phy_faith","Faith's PD"
"1106_c","10m","10m_C2",320,3,747.979618,410.20507653741,2.58116102741432,2.58116102741432,"sp_rich","Species richness","phy_faith","Faith's PD"
"1106_d","10m","10m_C4",374,6,432.182008,-217.46611724926,-1.36837669432332,1.36837669432332,"sp_rich","Species richness","phy_faith","Faith's PD"
"1107_a","10m","10m_C4",374,5,523.524938,-22.1653259870367,-0.13947237338116,0.13947237338116,"sp_rich","Species richness","phy_faith","Faith's PD"
"1107_b","10m","10m_C2",320,5,507.984536,-37.7057279870367,-0.237258291418412,0.237258291418412,"sp_rich","Species richness","phy_faith","Faith's PD"
"1107_c","10m","10m_C2",320,8,1282.603271,425.039423226293,2.67450418606976,2.67450418606976,"sp_rich","Species richness","phy_faith","Faith's PD"
"1107_d","10m","10m_C1",250,6,598.108432,-51.5396932492601,-0.324306682654492,0.324306682654492,"sp_rich","Species richness","phy_faith","Faith's PD"
"1108_a","10m","10m_C5",431,5,503.885727,-41.8045369870368,-0.263049503313982,0.263049503313982,"sp_rich","Species richness","phy_faith","Faith's PD"
"1108_b","10m","10m_C2",320,6,1072.382979,422.73485375074,2.6600029883628,2.6600029883628,"sp_rich","Species richness","phy_faith","Faith's PD"
