"scale","composition_cluster","cluster_size","species_metric","species_label","phylo_metric","phylo_label","n","mean_abs_phylo_residual_z","sd_phylo_residual","mean_species_value","mean_phylo_value"
"50m","50m_C1",26,"sp_rich","Species richness","phy_faith","Faith's PD",26,1.04751312796087,258.88655510647,17,1597.94689134615
"50m","50m_C2",24,"sp_simpson","Simpson diversity","phy_faith","Faith's PD",24,1.03405074417119,348.568629043993,0.827713029131473,1111.289767
"50m","50m_C1",26,"sp_shannon","Shannon diversity","phy_faith","Faith's PD",26,0.986607311505563,271.511355352094,2.31535852223112,1597.94689134615
"50m","50m_C2",24,"sp_even","Species evenness","phy_faith","Faith's PD",24,0.981767377547817,355.617973150816,0.8104575238283,1111.289767
"50m","50m_C1",26,"sp_even","Species evenness","phy_faith","Faith's PD",26,0.955936377103687,263.852483058298,0.817888232651356,1597.94689134615
"50m","50m_C2",24,"sp_shannon","Shannon diversity","phy_faith","Faith's PD",24,0.938905485180867,287.035539165706,2.0778502725566,1111.289767
"50m","50m_C1",26,"sp_simpson","Simpson diversity","phy_faith","Faith's PD",26,0.91204564571441,247.655160968003,0.861927796423262,1597.94689134615
"50m","50m_C2",24,"sp_rich","Species richness","phy_faith","Faith's PD",24,0.830220891288144,214.710728726642,13.2916666666667,1111.289767
"50m","50m_C3",30,"sp_shannon","Shannon diversity","phy_faith","Faith's PD",30,0.663088032697549,215.357770358855,2.27395474074881,1306.53138525667
"50m","50m_C3",30,"sp_rich","Species richness","phy_faith","Faith's PD",30,0.630665668434953,166.353826160894,15.9333333333333,1306.53138525667
"50m","50m_C3",30,"sp_simpson","Simpson diversity","phy_faith","Faith's PD",30,0.585566315691966,240.870357164724,0.847986311735712,1306.53138525667
"50m","50m_C3",30,"sp_even","Species evenness","phy_faith","Faith's PD",30,0.567424735911989,273.936996037458,0.82780529355858,1306.53138525667
"50m","50m_C1",26,"sp_shannon","Shannon diversity","phy_rao","Phylogenetic Rao's Q",26,1.09148445281496,58.4037826702397,2.31535852223112,236.603624890618
"50m","50m_C1",26,"sp_rich","Species richness","phy_rao","Phylogenetic Rao's Q",26,1.08834993505882,56.680288396588,17,236.603624890618
"50m","50m_C1",26,"sp_simpson","Simpson diversity","phy_rao","Phylogenetic Rao's Q",26,1.06389329535937,57.0487372110106,0.861927796423262,236.603624890618
"50m","50m_C1",26,"sp_even","Species evenness","phy_rao","Phylogenetic Rao's Q",26,1.04100619602751,57.3709806396034,0.817888232651356,236.603624890618
"50m","50m_C2",24,"sp_even","Species evenness","phy_rao","Phylogenetic Rao's Q",24,0.82733479572336,36.9361256252525,0.8104575238283,185.479312601654
"50m","50m_C2",24,"sp_simpson","Simpson diversity","phy_rao","Phylogenetic Rao's Q",24,0.772761678642467,34.9944486591925,0.827713029131473,185.479312601654
"50m","50m_C2",24,"sp_shannon","Shannon diversity","phy_rao","Phylogenetic Rao's Q",24,0.719236455162934,34.4257250208092,2.0778502725566,185.479312601654
"50m","50m_C2",24,"sp_rich","Species richness","phy_rao","Phylogenetic Rao's Q",24,0.68555119446328,37.7107186819363,13.2916666666667,185.479312601654
"50m","50m_C3",30,"sp_rich","Species richness","phy_rao","Phylogenetic Rao's Q",30,0.358402465247082,16.195254690653,15.9333333333333,203.037754918857
