"scale","sv_metric","sv_label","species_metric","species_label","phylo_metric","phylo_label","n","species_only_r2","phylo_only_r2","combined_r2","phylo_incremental_r2_after_species","partial_f","partial_f_p_value","phylo_slope_in_combined","phylo_p_value_in_combined"
"50m","spec_spca_mean","Std PCA mean distance","sp_simpson","Simpson diversity","phy_rao","Phylogenetic Rao's Q",74,8.04157953886699e-05,0.196918801200073,0.223386643739633,0.223306227944244,20.4152324399709,2.42724272569623e-05,0.0106032054729645,2.42724272569623e-05
"50m","spec_spca_mean","Std PCA mean distance","sp_simpson","Simpson diversity","phy_afaith","Abundance-weighted Faith's PD",74,8.04157953886699e-05,0.175353723590693,0.179132522046491,0.179052106251102,15.4869085269672,0.000191515411080574,0.00025127584403526,0.000191515411080575
"50m","spec_spca_mean","Std PCA mean distance","sp_even","Species evenness","phy_faith","Faith's PD",74,0.0115210903020297,0.0796402290878758,0.102745990136126,0.0912248998340964,7.21865582880314,0.00897920693120412,0.00082056457185654,0.00897920693120415
"50m","spec_spca_mean","Std PCA mean distance","sp_even","Species evenness","phy_rao","Phylogenetic Rao's Q",74,0.0115210903020297,0.196918801200073,0.228518683992631,0.216997593690601,19.970450135808,2.9084067577951e-05,0.00999929449209182,2.90840675779512e-05
"50m","spec_spca_mean","Std PCA mean distance","sp_even","Species evenness","phy_afaith","Abundance-weighted Faith's PD",74,0.0115210903020297,0.175353723590693,0.175427045787893,0.163905955485863,14.1131512743053,0.000349697685494588,0.000246649666478118,0.000349697685494589
"50m","spec_sa","SA entropy","sp_rich","Species richness","phy_faith","Faith's PD",80,0.00513767622367523,0.0291211507693164,0.037193066932548,0.0320553907088728,2.56361374208164,0.113443400378861,5.851726973365e-05,0.113443400378861
"50m","spec_sa","SA entropy","sp_rich","Species richness","phy_rao","Phylogenetic Rao's Q",80,0.00513767622367523,0.115375739316357,0.11954280386996,0.114405127646285,10.0052505306151,0.00223436804262895,0.000617962532411688,0.00223436804262895
"50m","spec_sa","SA entropy","sp_rich","Species richness","phy_afaith","Abundance-weighted Faith's PD",80,0.00513767622367523,0.0519102474398256,0.0567515227945823,0.0516138465709071,4.21338203241471,0.0435038935006102,1.05543727841131e-05,0.0435038935006102
"50m","spec_sa","SA entropy","sp_shannon","Shannon diversity","phy_faith","Faith's PD",80,0.002218533349172,0.0291211507693164,0.0332947034828374,0.0310761701336654,2.47527877307925,0.119749152890818,4.59951083239861e-05,0.119749152890817
"50m","spec_sa","SA entropy","sp_shannon","Shannon diversity","phy_rao","Phylogenetic Rao's Q",80,0.002218533349172,0.115375739316357,0.121370514579784,0.119151981230612,10.442060853864,0.00181337539612357,0.00062147277749899,0.00181337539612356
"50m","spec_sa","SA entropy","sp_shannon","Shannon diversity","phy_afaith","Abundance-weighted Faith's PD",80,0.002218533349172,0.0519102474398256,0.0575272386704386,0.0553087053212666,4.51871978106781,0.0367315769549409,1.10044671569554e-05,0.0367315769549406
"50m","spec_sa","SA entropy","sp_simpson","Simpson diversity","phy_faith","Faith's PD",80,2.51178862855405e-07,0.0291211507693164,0.0364081599812977,0.0364079088024348,2.90933241789703,0.0920993875267506,4.52681989911461e-05,0.0920993875267502
"50m","spec_sa","SA entropy","sp_simpson","Simpson diversity","phy_rao","Phylogenetic Rao's Q",80,2.51178862855405e-07,0.115375739316357,0.132530796994233,0.13253054581537,11.7639358174606,0.000973414890861596,0.000657860251388881,0.000973414890861594
"50m","spec_sa","SA entropy","sp_simpson","Simpson diversity","phy_afaith","Abundance-weighted Faith's PD",80,2.51178862855405e-07,0.0519102474398256,0.0524414993606875,0.0524412481818246,4.26145310002081,0.0423544183616165,1.06901365781091e-05,0.0423544183616163
"50m","spec_sa","SA entropy","sp_even","Species evenness","phy_faith","Faith's PD",80,0.00111161526555402,0.0291211507693164,0.033840099537248,0.032728484271694,2.60836046674408,0.110392144796295,3.91178423780493e-05,0.110392144796296
"50m","spec_sa","SA entropy","sp_even","Species evenness","phy_rao","Phylogenetic Rao's Q",80,0.00111161526555402,0.115375739316357,0.125643926120479,0.124532310854925,10.9669140780173,0.00141408155227385,0.000606256280776252,0.00141408155227384
"50m","spec_sa","SA entropy","sp_even","Species evenness","phy_afaith","Abundance-weighted Faith's PD",80,0.00111161526555402,0.0519102474398256,0.0522324210008132,0.0511208057352592,4.15323559154826,0.0449895245108678,1.07750481176445e-05,0.0449895245108678
