"scale","x_metric","x_label","y_metric","y_label","moderator","moderator_label","moderator_is_plotted_metric","n","base_r2","additive_r2","full_interaction_r2","moderator_incremental_r2_after_metric","interaction_incremental_r2_after_additive","full_incremental_r2_after_metric","moderator_main_slope","moderator_main_p_value","interaction_slope","interaction_f","interaction_p_value","full_partial_f","full_partial_p_value","interaction_q_value","full_partial_q_value","moderator_main_q_value"
"20m","sp_rich","Species richness","sp_even","Species evenness","present_species_count","Number of species",TRUE,500,0.101298611027564,0.101298611027564,0.130304833871788,0,0.0290062228442248,0.0290062228442248,NA,NA,-0.117847400796072,16.5760295274017,5.43714848208825e-05,16.5760295274017,5.43714848208825e-05,0.000175661720190544,8.15572272313238e-05,NA
"20m","sp_rich","Species richness","sp_even","Species evenness","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,500,0.101298611027564,0.101376732731143,0.116088341153593,7.81217035790288e-05,0.0147116084224501,0.0147897301260291,0.00964076326951397,0.835421825357928,-0.101106026580972,8.25530210457738,0.00423753703352763,4.14956973872494,0.0163220780750352,0.00988758641156447,0.0203621964104399,0.835421825357928
"20m","sp_rich","Species richness","phy_faith","Faith's PD","present_species_count","Number of species",TRUE,500,0.527973604686353,0.527973604686353,0.528110855138918,0,0.000137250452564741,0.000137250452564741,NA,NA,0.00810646125450807,0.144554024324306,0.703957450889974,0.144554024324306,0.703957450889974,0.798569012804341,0.703957450889974,NA
"20m","sp_rich","Species richness","phy_faith","Faith's PD","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,500,0.527973604686353,0.538634899205639,0.539835929164694,0.0106612945192857,0.00120102995905536,0.011862324478341,0.112623893365735,0.000757463505963392,0.0288884263593818,1.2945618692265,0.255758262395847,6.39305990423895,0.00181431451515635,0.384906354105997,0.00251212779021648,0.00103551972967147
"20m","sp_rich","Species richness","phy_rao","Phylogenetic Rao's Q","present_species_count","Number of species",TRUE,500,0.16987453431941,0.16987453431941,0.192117156197526,0,0.0222426218781163,0.0222426218781163,NA,NA,-0.103197079823983,13.6833987232518,0.000240493731474858,13.6833987232518,0.000240493731474858,0.000704702561996097,0.000344343297339002,NA
"20m","sp_rich","Species richness","phy_rao","Phylogenetic Rao's Q","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,500,0.16987453431941,0.196056979672319,0.203268277934195,0.0261824453529089,0.00721129826187655,0.0333937436147854,0.176494293883149,6.63528258257649e-05,-0.0707870304757901,4.48934545823869,0.0346031592517491,10.394525769595,3.78230284197032e-05,0.0692063185034982,5.8118311961983e-05,9.95292387386473e-05
"20m","sp_rich","Species richness","phy_afaith","Abundance-weighted Faith's PD","present_species_count","Number of species",TRUE,500,0.0559138153653902,0.0559138153653902,0.0578275735054335,0,0.00191375814004326,0.00191375814004326,NA,NA,-0.0302703849681956,1.00951563520093,0.315507826895086,1.00951563520093,0.315507826895086,0.462255653357917,0.348719177094569,NA
"20m","sp_rich","Species richness","phy_afaith","Abundance-weighted Faith's PD","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,500,0.0559138153653902,0.424705517390326,0.424822330259353,0.368791702024935,0.000116812869027538,0.368908514893963,0.662393613503304,1.98900181142415e-55,-0.00900932616767353,0.100732671113338,0.751085724346967,159.062697505201,4.24632175126459e-54,0.830147379541385,1.84495358848048e-53,9.19282364461109e-55
"20m","sp_shannon","Shannon diversity","sp_simpson","Simpson diversity","present_species_count","Number of species",FALSE,500,0.900659706753472,0.93824539250638,0.958314514046534,0.0375856857529085,0.0200691215401543,0.0576548072930628,-0.374676103521376,2.87635548443135e-53,-0.114189766872196,238.794967990265,2.92753840035914e-44,343.00648970822,2.94536346439382e-94,4.0985537605028e-43,2.31947372821013e-93,1.24258556927434e-52
"20m","sp_shannon","Shannon diversity","sp_simpson","Simpson diversity","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,500,0.900659706753472,0.901923618536241,0.922400457556854,0.00126391178276986,0.020476839020612,0.0217407508033819,-0.0380627052523051,0.0116883780379218,-0.112086895030489,130.883660321383,4.65563296159661e-27,69.481159675509,2.50013385350539e-27,3.25894307311763e-26,7.50040156051616e-27,0.0146784282336693
"20m","sp_shannon","Shannon diversity","sp_even","Species evenness","present_species_count","Number of species",FALSE,500,0.52950728449998,0.875615536144063,0.882358301666609,0.346108251644083,0.00674276552254649,0.352851017166629,-1.13697452148133,1.09620178143141e-145,0.0661884229638899,28.4287947773852,1.47933931396469e-07,743.843836811447,5.08251522346091e-150,5.82489854873595e-07,5.33664098463395e-149,9.86581603288272e-145
"20m","sp_shannon","Shannon diversity","sp_even","Species evenness","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,500,0.52950728449998,0.547338534009366,0.554191261334967,0.0178312495093859,0.0068527273256016,0.0246839768349875,-0.142965800112931,1.18777636160226e-05,-0.0648418065775586,7.62423985603444,0.00597236419763184,13.7315079857071,1.56937601420004e-06,0.0134378194446717,2.50305541505323e-06,1.88646833901536e-05
"20m","sp_shannon","Shannon diversity","phy_faith","Faith's PD","present_species_count","Number of species",FALSE,500,0.34011095191396,0.533536655097753,0.534586478523305,0.193425703183793,0.00104982342555182,0.194475526609344,0.849966576382966,2.40202791964996e-39,-0.0261168704275184,1.11881669750706,0.290688261199761,103.628125040481,2.48475072447519e-38,0.430902598954939,8.69662753566316e-38,9.26496483293557e-39
"20m","sp_shannon","Shannon diversity","phy_faith","Faith's PD","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,500,0.34011095191396,0.375826185794756,0.38357217735951,0.0357152338807956,0.00774599156475347,0.0434612254455491,0.20233360517674,1.47125351712201e-07,0.0689385096816956,6.23270344881628,0.0128646042093465,17.485232681949,4.59203665662857e-08,0.0274735615318246,8.26566598193143e-08,2.69314203134199e-07
"20m","sp_shannon","Shannon diversity","phy_rao","Phylogenetic Rao's Q","present_species_count","Number of species",FALSE,500,0.221262310999597,0.221609324582149,0.234746049794459,0.000347013582552014,0.0131367252123104,0.0134837387948624,0.0360012842120723,0.638054979797009,-0.0923860847812489,8.51457964190308,0.00368304054876242,4.36974839558517,0.013145216692185,0.00875590771969933,0.0165629730321531,0.644018110449317
"20m","sp_shannon","Shannon diversity","phy_rao","Phylogenetic Rao's Q","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,500,0.221262310999597,0.245334834948134,0.248843994651403,0.0240725239485372,0.00350915970326879,0.027581683651806,0.166112411994942,7.86612761964824e-05,-0.0464007443535071,2.31715276244584,0.128591301275213,9.10630747400258,0.000130634992812963,0.207724409752267,0.000191395454586434,0.000116375586701645
"20m","sp_shannon","Shannon diversity","phy_afaith","Abundance-weighted Faith's PD","present_species_count","Number of species",FALSE,500,0.0231670573373891,0.0653028428568055,0.0782698828283617,0.0421357855194164,0.0129670399715562,0.0551028254909726,0.39670740143671,2.88388830954297e-06,-0.0917874764005655,6.97780370422054,0.00851320161602911,14.8259240608241,5.57574935036267e-07,0.0188186562038538,9.24400550191705e-07,4.79169134508678e-06
"20m","sp_shannon","Shannon diversity","phy_afaith","Abundance-weighted Faith's PD","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,500,0.0231670573373891,0.431453227712558,0.433878116063253,0.408286170375169,0.00242488835069421,0.410711058725864,0.684106324442382,2.14202224979282e-60,-0.0385717420979335,2.12453299558136,0.14558978599603,179.919458078032,1.76291832317614e-59,0.232206494120251,8.88510834880774e-59,1.1016114427506e-59
"20m","sp_simpson","Simpson diversity","sp_even","Species evenness","present_species_count","Number of species",FALSE,500,0.694889678766851,0.848262659033816,0.88952373677293,0.153372980266964,0.0412610777391144,0.194634058006079,-0.557565830779741,2.07004487099196e-77,0.188867735881426,185.247889101177,4.51050790572728e-36,436.919614906744,3.84941820485076e-110,4.73603330101364e-35,3.46447638436568e-109,1.39728028791957e-76
