scale,quad_id,sample_rule,sample_size,sample_fraction,n_boot,metric_mean,metric_median,metric_sd,metric_min,metric_max,metric_method,metric_n_points_min,metric_n_points_max,metric_cv,metric_se,ci_low,ci_high,fixed_4000_mean,delta_from_fixed_4000,rule_type,rule_value,rule_label,rule_axis_label,sample_label,plot_sample_label,source_n_pixels,source_method,selection_note
10m,1110_a,fixed_1250,1250,0.16339869281045752,50,68.17621192526879,67.86104284620484,3.498722608239384,62.97380774136458,79.20064782053309,squared_euclidean_pc1_pc3,1250,1250,0.051318817948913055,0.4947940963553506,67.18188596175534,69.17053788878223,68.78386958422641,-0.6076576589576206,fixed,1250,"Fixed 1,250","1,250","Fixed 1,250 (16.3%)","1,250
16.3%",7650,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1110_a,fixed_2000,2000,0.26143790849673204,50,69.80666629507157,70.07125789633778,3.0509559848213628,63.079004075180656,76.621239913285,squared_euclidean_pc1_pc3,2000,2000,0.04370579697825742,0.43147033319377337,68.93959419792945,70.67373839221368,68.78386958422641,1.0227967108451566,fixed,2000,"Fixed 2,000","2,000","Fixed 2,000 (26.1%)","2,000
26.1%",7650,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1110_a,fixed_3000,3000,0.39215686274509803,50,69.10573311254856,69.39504683126088,1.5406457209107045,65.03716977227107,72.60467292814313,squared_euclidean_pc1_pc3,3000,3000,0.022294036276289012,0.21788020733239924,68.66788644323279,69.54357978186434,68.78386958422641,0.3218635283221545,fixed,3000,"Fixed 3,000","3,000","Fixed 3,000 (39.2%)","3,000
39.2%",7650,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1110_a,fixed_4000,4000,0.5228758169934641,50,68.78386958422641,68.64712111360518,1.4184766282355479,65.91782196618226,71.38175527054068,squared_euclidean_pc1_pc3,4000,4000,0.02062222781023699,0.20060288855599703,68.38074298688768,69.18699618156514,68.78386958422641,0,fixed,4000,"Fixed 4,000","4,000","Fixed 4,000 (52.3%)","4,000
52.3%",7650,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1124_a,pct_1,83,0.009998795325864354,50,72.39474473965373,73.25507849788171,9.316094203818736,54.2854371893973,89.2954509982393,squared_euclidean_pc1_pc3,83,83,0.12868467507304998,1.3174946771385836,69.74714006142645,75.04234941788101,73.47210417281192,-1.0773594331581933,percent,0.01,1% of pixels,1%,1% of pixels = 83 pixels (1.0%),"1%
83 px",8301,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1124_a,pct_2,166,0.01999759065172871,50,72.87965714103589,73.09217434574217,6.828111953002558,60.36954744656758,88.50995922158116,squared_euclidean_pc1_pc3,166,166,0.09369023155239153,0.9656408529338057,70.93912919501976,74.82018508705202,73.47210417281192,-0.5924470317760324,percent,0.02,2% of pixels,2%,2% of pixels = 166 pixels (2.0%),"2%
166 px",8301,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1124_a,pct_3,249,0.029996385977593062,50,73.38593848702669,72.14302221320229,5.958501489132644,64.47520657031639,90.63794621274477,squared_euclidean_pc1_pc3,249,249,0.08119404905050032,0.8426593617351668,71.69255110034857,75.07932587370482,73.47210417281192,-0.08616568578523243,percent,0.03,3% of pixels,3%,3% of pixels = 249 pixels (3.0%),"3%
249 px",8301,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1124_a,fixed_1250,1250,0.15058426695578847,50,73.62765735584203,73.76744980887943,2.374715012092722,67.68467193539522,78.02399828368334,squared_euclidean_pc1_pc3,1250,1250,0.03225302960021855,0.33583541768725156,72.95277081670677,74.30254389497729,73.47210417281192,0.1555531830301078,fixed,1250,"Fixed 1,250","1,250","Fixed 1,250 (15.1%)","1,250
15.1%",8301,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1124_a,fixed_2000,2000,0.24093482712926154,50,73.06864779253887,73.19976746058416,1.7363189799789227,68.96994023794188,77.69019527443896,squared_euclidean_pc1_pc3,2000,2000,0.02376284538491515,0.2455525850092011,72.57519139829131,73.56210418678643,73.47210417281192,-0.40345638027305597,fixed,2000,"Fixed 2,000","2,000","Fixed 2,000 (24.1%)","2,000
24.1%",8301,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1124_a,fixed_3000,3000,0.3614022406938923,50,73.71915848961797,73.78973206174805,1.308512836937986,71.0758885062517,76.2004481027774,squared_euclidean_pc1_pc3,3000,3000,0.0177499698008933,0.18505166005369938,73.3472832559844,74.09103372325154,73.47210417281192,0.24705431680604306,fixed,3000,"Fixed 3,000","3,000","Fixed 3,000 (36.1%)","3,000
36.1%",8301,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
